"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","IP","ERA","WHIP","W","SV","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age","PosNumber"
1050,"Mychal Givens","RP",32.6,"R","R","NYM","BAL",1,"$5,000,000 ","$5,000,000 ",61.3,3.38,1.32,7,2,0.96,1,1,5e+06,2,2,1
1089,"Noah Syndergaard","SP",30.2,"L","R","PHI","LAD",1,"$13,000,000 ","$13,000,000 ",134.7,3.94,1.26,10,0,1.08,1,1,1.3e+07,3,2,1
1138,"Pierce Johnson","RP",31.6,"R","R","SD","COL",1,"$5,000,000 ","$5,000,000 ",14.3,5.02,1.54,1,0,-0.03,1,1,5e+06,2,2,1
1144,"Rafael Montero","RP",32,"R","R","HOU","HOU",3,"$34,500,000 ","$11,500,000 ",68.3,2.37,1.02,5,14,1.22,1,2,11500000,3,2,1
1168,"Rich Hill","SP",42.8,"L","L","BOS","PIT",1,"$8,000,000 ","$8,000,000 ",124.3,4.27,1.3,8,0,0.85,1,1,8e+06,3,3,1
1200,"Ross Stripling","SP",33,"R","R","TOR","SF",2,"$25,000,000 ","$12,500,000 ",134.3,3.02,1.02,10,0,2.75,1,2,12500000,3,2,1
1230,"Ryan Yarbrough","SP",30.9,"R","L","TB","KC",1,"$3,000,000 ","$3,000,000 ",80,4.5,1.38,3,0,0.06,1,1,3e+06,1,2,1
1260,"Sean Manaea","SP",30.8,"R","L","SD","SF",2,"$25,000,000 ","$12,500,000 ",158,4.96,1.3,8,0,-1.18,1,2,12500000,3,2,1
1275,"Seth Lugo","SP",33.1,"R","R","NYM","SD",2,"$15,000,000 ","$7,500,000 ",65,3.6,1.17,4,0,0.74,1,2,7500000,3,2,1
1286,"Shelby Miller","RP",32.1,"R","R","SF","LAD",1,"$1,500,000 ","$1,500,000 ",7,6.43,1.29,0,0,-0.19,1,1,1500000,1,2,1
1318,"Taijuan Walker","SP",30.2,"R","R","NYM","PHI",4,"$72,000,000 ","$18,000,000 ",157.3,3.49,1.2,12,0,2.27,1,2,1.8e+07,3,2,1
1332,"Taylor Rogers","RP",32,"L","L","MIL","SF",3,"$33,000,000 ","$11,000,000 ",64.3,4.76,1.18,4,31,-0.19,1,2,1.1e+07,3,2,1
1380,"Trevor May","RP",33.2,"R","R","NYM","OAK",1,"$7,000,000 ","$7,000,000 ",25,5.04,1.44,2,1,-0.18,1,1,7e+06,3,2,1
1386,"Trevor Williams","RP",30.6,"R","R","NYM","WSH",2,"$13,000,000 ","$6,500,000 ",89.7,3.21,1.23,3,1,1.3,1,2,6500000,3,2,1
1434,"Wade Miley","SP",36.1,"L","L","CHC","MIL",1,"$4,500,000 ","$4,500,000 ",37,3.16,1.22,2,0,0.03,1,1,4500000,2,3,1
1491,"Zach Davies","SP",29.8,"R","R","ARI","ARI",1,"$5,000,000 ","$5,000,000 ",134.3,4.09,1.3,2,0,0.61,1,1,5e+06,2,2,1
1492,"Zach Eflin","SP",28.6,"R","R","PHI","TB",3,"$40,000,000 ","$13,333,333 ",75.7,4.04,1.12,3,0,0.94,1,2,13333333,3,2,1
1502,"Zack Greinke","SP",39.2,"R","R","KC","KC",1,"$8,500,000 ","$8,500,000 ",137,3.68,1.34,4,0,2.45,1,1,8500000,3,3,1
1607,"Jackson Stephens","RP",28.6,"R","R","ATL","ATL",1,"$740,000 ","$740,000 ",53.7,3.69,1.34,3,2,0.18,1,1,740000,1,2,1
1732,"Mike Clevinger","SP",31.9,"R","R","SD","CHW",1,"$12,000,000 ","$12,000,000 ",114.3,4.33,1.2,7,0,0.62,1,1,1.2e+07,3,2,1
1769,"Trevor Gott","RP",30.2,"R","R","MIL","SEA",1,"$1,200,000 ","$1,200,000 ",45.7,4.14,1.03,3,0,-0.03,1,1,1200000,1,2,1
1788,"Tommy Kahnle","RP",33.2,"R","R","LAD","NYY",2,"$11,500,000 ","$5,750,000 ",12.7,2.84,0.63,0,1,0.31,1,2,5750000,3,2,1
1862,"Robert Suarez","RP",31.7,"","","SD","SD",5,"$46,000,000 ","$9,200,000 ",47.7,2.27,1.05,5,1,1.36,1,2,9200000,3,2,1
1873,"Justin Verlander","SP",39.8,"R","R","HOU","NYM",2,"$86,666,666 ","$43,333,333 ",175,1.75,0.83,18,0,5.5,1,2,43333333,3,3,1
2043,"Vincent Velasquez","SP",30.4,"R","R","CHW","PIT",1,"$3,150,000 ","$3,150,000 ",75.3,4.78,1.24,3,0,0.23,1,1,3150000,1,2,1
1397,"Tyler Anderson","SP",32.8,"L","L","LAD","LAA",3,"$39,000,000 ","$13,000,000 ",178.7,2.57,1,15,0,4.26,1,2,1.3e+07,3,2,1
267,"Chris Bassitt","SP",33.8,"R","R","NYM","TOR",3,"$63,000,000 ","$21,000,000 ",181.7,3.42,1.15,15,0,3.18,1,2,2.1e+07,3,2,1
989,"Matthew Boyd","SP",31.8,"L","L","SEA","DET",1,"$10,000,000 ","$10,000,000 ",13.3,1.35,0.98,2,0,0.43,1,1,1e+07,3,2,1
595,"Jacob deGrom","SP",34.4,"L","R","NYM","TEX",5,"$185,000,000 ","$37,000,000 ",64.3,3.08,0.75,5,0,1.42,1,2,3.7e+07,3,3,1
1055,"Nathan Eovaldi","SP",32.8,"R","R","BOS","TEX",2,"$34,000,000 ","$17,000,000 ",109.3,3.87,1.24,6,0,1.13,1,2,1.7e+07,3,2,1
965,"Martin Perez","SP",31.6,"L","L","TEX","TEX",1,"$19,650,000 ","$19,650,000 ",196.3,2.89,1.26,12,0,5.17,1,1,19650000,3,2,1
241,"Carlos Rodon","SP",30,"L","L","SF","NYY",6,"$162,000,000 ","$27,000,000 ",178,2.88,1.03,14,0,5.31,1,2,2.7e+07,3,2,1
1448,"Will M. Smith","RP",33.6,"R","L","HOU","TEX",1,"$1,500,000 ","$1,500,000 ",59,3.97,1.41,0,5,-0.67,1,1,1500000,1,2,1
