"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","H","RBI","HR","AVG","OPS","IP","ERA","WHIP","W","SV","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age"
321,"Craig Kimbrel","RP",34.5,"R","R","LAD","PHI","1","$10,000,000 ","$10,000,000 ",NA,NA,NA,NA,NA,60,3.75,1.32,6,22,0.12,1,1,1e+07,3,3
326,"Curt Casali","C",34.1,"R","R","SEA","CIN","1","$3,250,000 ","$3,250,000 ",30,17,5,0.203,0.649,NA,NA,NA,NA,NA,1.14,2,1,3250000,1,3
354,"Danny Mendick","2B",29.2,"R","R","CHW","NYM","1","$1,000,000 ","$1,000,000 ",28,15,3,0.289,0.786,NA,NA,NA,NA,NA,0.52,2,1,1e+06,1,2
358,"Darin Ruf","1B",36.8,"R","R","SF","MIL","1","$720,000 ","$720,000 ",68,45,11,0.204,0.645,2,NA,NA,NA,NA,-0.52,2,1,720000,1,3
372,"David Peralta","LF",35.4,"L","L","TB","LAD","1","$6,500,000 ","$6,500,000 ",110,59,12,0.251,0.731,NA,NA,NA,NA,NA,0.94,3,1,6500000,3,3
376,"David Robertson","RP",37.6,"R","R","PHI","NYM","1","$10,000,000 ","$10,000,000 ",NA,NA,NA,NA,NA,63.7,2.4,1.16,4,20,1.94,1,1,1e+07,3,3
407,"Dominic Smith","1B",27.5,"L","L","NYM","WSH","1","$2,000,000 ","$2,000,000 ",26,17,NA,0.194,0.56,NA,NA,NA,NA,NA,-0.37,2,1,2e+06,1,2
408,"Donovan Solano","2B",35.2,"R","R","CIN","MIN","1","$2,000,000 ","$2,000,000 ",79,24,4,0.284,0.724,NA,NA,NA,NA,NA,0.94,2,1,2e+06,1,3
418,"Drew Smyly","SP",33.5,"L","L","CHC","CHC","2","$19,000,000 ","$9,500,000 ",NA,NA,NA,NA,NA,106.3,3.47,1.19,7,NA,1.86,1,2,9500000,3,2
442,"Edwin Diaz","RP",28.6,"R","R","NYM","NYM","5","$102,000,000 ","$20,400,000 ",NA,NA,NA,NA,NA,62,1.31,0.84,3,32,3.08,1,2,20400000,3,2
443,"Edwin Rios","3B",28.8,"L","R","LAD","CHC","1","$1,000,000 ","$1,000,000 ",21,17,7,0.244,0.793,NA,NA,NA,NA,NA,0.08,2,1,1e+06,1,2
451,"Elvis Andrus","SS",34.4,"R","R","CHW","CHW","1","$3,000,000 ","$3,000,000 ",133,58,17,0.249,0.709,NA,NA,NA,NA,NA,1.26,2,1,3e+06,1,3
459,"Erasmo Ramirez","RP",32.6,"R","R","WSH","WSH","1","$1,000,000 ","$1,000,000 ",NA,NA,NA,NA,NA,86.3,2.92,1.08,4,0,1.36,1,1,1e+06,1,2
463,"Eric Hosmer","1B",33.2,"L","L","BOS","CHC","1","$720,000 ","$720,000 ",102,44,8,0.268,0.716,NA,NA,NA,NA,NA,1.07,2,1,720000,1,2
475,"Evan Longoria","3B",37.2,"R","R","SF","ARI","1","$4,000,000 ","$4,000,000 ",65,42,14,0.244,0.766,NA,NA,NA,NA,NA,0.73,2,1,4e+06,2,3
