"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","H","RBI","HR","AVG","OPS","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age","PosNumber"
299,"Colin Moran","1B",29.4,"L","R","PIT","CIN",1,"$1,000,000 ",1e+06,82,50,10,0.258,0.724,-0.01,2,1,1e+06,1,2,3
314,"Corey Dickerson","LF",32.8,"L","R","TOR","STL",1,"$5,000,000 ",5e+06,91,29,6,0.271,0.734,-0.1,3,1,5e+06,2,2,7
319,"Corey Seager","SS",27.6,"L","R","LAD","TEX",10,"$325,000,000 ",32500000,108,57,16,0.306,0.915,3.7,2,2,32500000,3,2,6
349,"Daniel Vogelbach","DH",29.2,"L","R","MIL","PIT",1,"$1,000,000 ",1e+06,47,24,9,0.219,0.73,-0.17,4,1,1e+06,1,2,10
408,"Donovan Solano","2B",34.2,"R","R","SF","CIN",1,"$4,500,000 ",4500000,86,31,7,0.28,0.748,1.14,2,1,4500000,2,3,4
432,"Eddie Rosario","LF",30.4,"L","R","ATL","ATL",2,"$18,000,000 ",9e+06,98,62,14,0.259,0.74,0.56,3,2,9e+06,3,2,7
438,"Eduardo Escobar","3B",32.8,"","R","MIL","NYM",2,"$20,000,000 ",1e+07,139,90,28,0.253,0.786,2.13,2,2,1e+07,3,2,5
445,"Ehire Adrianza","SS",32.5,"","R","ATL","WSH",1,"$1,500,000 ",1500000,45,28,5,0.247,0.728,0.3,2,1,1500000,1,2,6
489,"Freddie Freeman","1B",32.5,"L","R","ATL","LAD",6,"$162,000,000 ",2.7e+07,180,83,31,0.3,0.895,4.65,2,2,2.7e+07,3,2,3
532,"Hanser Alberto","2B",29.3,"R","R","KC","LAD",1,"$1,600,000 ",1600000,65,24,2,0.27,0.693,0.37,2,1,1600000,1,2,4
612,"Jake Marisnick","CF",31,"R","R","SD","PIT",1,"$1,300,000 ",1300000,38,24,5,0.216,0.661,0.42,3,1,1300000,1,2,8
647,"Javier Baez","SS",28.9,"R","R","NYM","DET",6,"$140,000,000 ",23333333,133,87,31,0.265,0.813,2.66,2,2,23333333,3,2,6
655,"Jed Lowrie","2B",37.9,"","R","OAK","OAK",1,"$850,000 ",850000,112,69,14,0.245,0.716,0.13,2,1,850000,1,3,4
685,"Joc Pederson","LF",29.8,"L","L","ATL","SF",1,"$6,000,000 ",6e+06,103,61,18,0.24,0.739,-0.26,3,1,6e+06,3,2,7
704,"Johan Camargo","3B",27.9,"","R","ATL","PHI",1,"$1,400,000 ",1400000,0,0,0,0,0.111,-0.36,2,1,1400000,1,2,5
751,"Jorge Soler","DH",30,"R","R","ATL","MIA",3,"$36,000,000 ",1.2e+07,115,70,27,0.223,0.748,-1.35,4,2,1.2e+07,3,2,10
787,"Jose Iglesias","SS",32.2,"R","R","BOS","COL",1,"$5,000,000 ",5e+06,131,48,9,0.271,0.7,-1.09,2,1,5e+06,2,2,6
763,"Josh Harrison","2B",34.7,"R","R","OAK","CHW",1,"$5,500,000 ",5500000,141,60,8,0.279,0.741,2.55,2,1,5500000,3,3,4
819,"Justin Upton","LF",34.7,"R","R","LAA","SEA",1,"$700,000 ",7e+05,67,41,17,0.211,0.705,-0.71,3,1,7e+05,1,3,7
859,"Kole Calhoun","RF",34.1,"L","L","ARI","TEX",1,"$5,200,000 ",5200000,39,17,5,0.235,0.67,-0.09,3,1,5200000,3,3,9
862,"Kris Bryant","RF",30.2,"R","R","SF","COL",7,"$182,000,000 ",2.6e+07,136,73,25,0.265,0.834,2.17,3,2,2.6e+07,3,2,9
864,"Kurt Suzuki","C",38.4,"R","R","LAA","LAA",1,"$1,750,000 ",1750000,49,16,6,0.224,0.636,-0.43,2,1,1750000,1,3,2
887,"Kyle Schwarber","LF",29,"L","R","BOS","PHI",4,"$79,000,000 ",19750000,106,71,32,0.266,0.928,1.83,3,2,19750000,3,2,7
900,"Leury Garcia","2B",30.7,"","R","CHW","CHW",3,"$16,500,000 ",5500000,111,54,5,0.267,0.711,2.11,2,2,5500000,3,2,4
940,"Luke Maile","C",31.1,"R","R","MIL","CLE",1,"$900,000 ",9e+05,9,3,0,0.3,0.815,0.25,2,1,9e+05,1,2,2
2051,"Manuel Pina","C",34.4,"R","R","MIL","ATL",2,"$8,000,000 ",4e+06,34,33,13,0.189,0.732,1.3,2,2,4e+06,2,3,2
958,"Marcus Semien","2B",31.2,"R","R","TOR","TEX",7,"$175,000,000 ",2.5e+07,173,102,45,0.265,0.872,7.25,2,2,2.5e+07,3,2,4
961,"Mark Canha","LF",32.8,"R","R","OAK","NYM",2,"$26,500,000 ",13250000,120,61,17,0.231,0.745,2.54,3,2,13250000,3,2,7
974,"Matt Carpenter","3B",36.5,"L","R","TEX","NYY",1,"$2,000,000 ",2e+06,35,21,3,0.169,0.58,-1.05,2,1,2e+06,1,3,5
976,"Matt Duffy","3B",31.2,"R","R","CHC","LAA",1,"$1,500,000 ",1500000,83,30,5,0.287,0.738,1.64,2,1,1500000,1,2,5
1007,"Michael Hermosillo","CF",26.8,"R","R","CHC","CHC",1,"$707,000 ",707000,7,7,3,0.194,0.737,0.12,3,1,707000,1,2,8
1058,"Nelson Cruz","DH",41.7,"R","R","TB","WSH",1,"$15,000,000 ",1.5e+07,136,86,32,0.265,0.831,2.05,4,1,1.5e+07,3,3,10
1063,"Nick Castellanos","DH",30,"R","R","CIN","PHI",5,"$100,000,000 ",2e+07,164,100,34,0.309,0.939,3.24,4,2,2e+07,3,2,10
1087,"Niko Goodrum","2B",30,"","R","DET","HOU",1,"$2,100,000 ",2100000,62,33,9,0.214,0.651,0.03,2,1,2100000,1,2,4
1093,"Odubel Herrera","CF",30.2,"L","R","PHI","PHI",1,"$1,750,000 ",1750000,117,51,13,0.26,0.726,1.78,3,1,1750000,1,2,8
1126,"Pedro Severino","C",28.3,"R","R","BAL","MIL",1,"$1,900,000 ",1900000,94,46,11,0.248,0.691,0.95,2,1,1900000,1,2,2
1187,"Roberto Perez","C",32.9,"R","R","CLE","PIT",1,"$5,000,000 ",5e+06,21,17,7,0.149,0.564,-0.11,2,1,5e+06,2,2,2
1188,"Robinson Chirinos","C",37.8,"R","R","CHC","BAL",1,"$900,000 ",9e+05,22,15,5,0.227,0.778,0.16,2,1,9e+05,1,3,2
1298,"Starling Marte","RF",33.1,"R","R","OAK","NYM",4,"$78,000,000 ",19500000,144,55,12,0.308,0.837,2.81,3,2,19500000,3,2,9
1306,"Stephen Vogt","C",37.3,"L","R","ATL","OAK",1,"$850,000 ",850000,41,25,7,0.195,0.616,0.27,2,1,850000,1,3,2
1346,"Tim Locastro","OF",29.6,"R","R","BOS","NYY",1,"$900,000 ",9e+05,25,7,2,0.18,0.515,-0.81,3,1,9e+05,1,2,0
1356,"Tommy Pham","LF",34,"R","R","SD","CIN",1,"$7,500,000 ",7500000,109,49,15,0.229,0.723,1.38,3,1,7500000,3,2,7
1385,"Trevor Story","SS",29.3,"R","R","COL","BOS",6,"$140,000,000 ",23333333,132,75,24,0.251,0.8,4.21,2,2,23333333,3,2,6
1467,"Yan Gomes","C",34.3,"R","R","OAK","CHC",2,"$13,000,000 ",6500000,88,52,14,0.252,0.722,2.05,2,2,6500000,3,3,2
2050,"Yoshitomo Tsutsugo","1B",29.9,"L","R","PIT","PIT",1,"$4,000,000 ",4e+06,50,32,8,0.217,0.69,-0.6,2,1,4e+06,2,2,3
