"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","H","RBI","HR","AVG","OPS","IP","ERA","WHIP","W","SV","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age"
299,"Colin Moran","1B",29.4,"L","R","PIT","CIN",1,"$1,000,000 ",1e+06,82,50,10,0.258,0.724,NA,NA,NA,NA,NA,-0.01,2,1,1e+06,1,2
301,"Collin McHugh","RP",34.7,"R","R","TB","ATL",2,"$10,000,000 ",5e+06,NA,NA,NA,NA,NA,64,1.55,0.94,6,1,1.96,1,2,5e+06,2,3
314,"Corey Dickerson","LF",32.8,"L","R","TOR","STL",1,"$5,000,000 ",5e+06,91,29,6,0.271,0.734,NA,NA,NA,NA,NA,-0.1,3,1,5e+06,2,2
315,"Corey Kluber","SP",35.6,"R","R","NYY","TB",1,"$8,000,000 ",8e+06,NA,NA,NA,NA,NA,80,3.83,1.34,5,NA,1.44,1,1,8e+06,3,3
316,"Corey Knebel","RP",30,"R","R","LAD","PHI",1,"$10,000,000 ",1e+07,NA,NA,NA,NA,NA,25.7,2.46,0.97,4,3,0.71,1,1,1e+07,3,2
319,"Corey Seager","SS",27.6,"L","R","LAD","TEX",10,"$325,000,000 ",32500000,108,57,16,0.306,0.915,NA,NA,NA,NA,NA,3.7,2,NA,32500000,3,2
349,"Daniel Vogelbach","DH",29.2,"L","R","MIL","PIT",1,"$1,000,000 ",1e+06,47,24,9,0.219,0.73,NA,NA,NA,NA,NA,-0.17,4,1,1e+06,1,2
343,"Daniel Hudson","RP",34.7,"R","R","SD","LAD",1,"$7,000,000 ",7e+06,NA,NA,NA,NA,NA,51.7,3.31,1.08,5,0,0.98,1,1,7e+06,3,3
346,"Daniel Norris","RP",28.8,"L","L","MIL","CHC",1,"$1,750,000 ",1750000,NA,NA,NA,NA,NA,57,6.16,1.49,2,1,-0.32,1,1,1750000,1,2
352,"Danny Duffy","SP",33.2,"L","L","LAD","LAD",1,"$3,000,000 ",3e+06,NA,NA,NA,NA,NA,61,2.51,1.21,4,NA,2.07,1,1,3e+06,1,2
376,"David Robertson","RP",36.9,"R","R","TB","CHC",1,"$3,500,000 ",3500000,NA,NA,NA,NA,NA,12,4.5,1.25,0,0,-0.11,1,1,3500000,1,3
408,"Donovan Solano","2B",34.2,"R","R","SF","CIN",1,"$4,500,000 ",4500000,86,31,7,0.28,0.748,NA,NA,NA,NA,NA,1.14,2,1,4500000,2,3
418,"Drew Smyly","SP",32.8,"L","L","ATL","CHC",1,"$5,250,000 ",5250000,3,NA,NA,0.073,0.146,126.7,4.48,1.37,11,NA,0.78,1,1,5250000,3,2
425,"Dylan Bundy","SP",29,"","R","LAA","MIN",1,"$5,000,000 ",5e+06,1,NA,NA,0.25,0.5,90.7,6.06,1.36,2,NA,-0.29,1,1,5e+06,2,2
432,"Eddie Rosario","LF",30.4,"L","R","ATL","ATL",2,"$18,000,000 ",9e+06,98,62,14,0.259,0.74,NA,NA,NA,NA,NA,0.56,3,2,9e+06,3,2
438,"Eduardo Escobar","3B",32.8,"","R","MIL","NYM",2,"$20,000,000 ",1e+07,139,90,28,0.253,0.786,NA,NA,NA,NA,NA,2.13,2,2,1e+07,3,2
439,"Eduardo Rodriguez","SP",28.6,"L","L","BOS","DET",5,"$77,000,000 ",15400000,NA,NA,NA,NA,NA,157.7,4.74,1.39,13,NA,1.75,1,2,15400000,3,2
445,"Ehire Adrianza","SS",32.5,"","R","ATL","WSH",1,"$1,500,000 ",1500000,45,28,5,0.247,0.728,NA,NA,NA,NA,NA,0.3,2,1,1500000,1,2
489,"Freddie Freeman","1B",32.5,"L","R","ATL","LAD",6,"$162,000,000 ",2.7e+07,180,83,31,0.3,0.895,NA,NA,NA,NA,NA,4.65,2,2,2.7e+07,3,2
499,"Garrett Richards","SP",33.8,"R","R","BOS","TEX",1,"$5,500,000 ",5500000,1,1,NA,0.2,0.6,136.7,4.87,1.6,7,NA,0.28,1,1,5500000,3,2
532,"Hanser Alberto","2B",29.3,"R","R","KC","LAD",1,"$1,600,000 ",1600000,65,24,2,0.27,0.693,0.3,NA,NA,NA,NA,0.37,2,1,1600000,1,2
536,"Heath Hembree","RP",33.2,"R","R","NYM","PIT",1,"$2,125,000 ",2125000,NA,NA,NA,NA,NA,58,5.59,1.19,2,9,-0.54,1,1,2125000,1,2
537,"Hector Neris","RP",32.4,"R","R","PHI","HOU",2,"$17,000,000 ",8500000,NA,NA,NA,NA,NA,74.3,3.63,1.17,4,12,1.18,1,2,8500000,3,2
551,"Hunter Strickland","RP",33.4,"R","R","MIL","CIN",1,"$1,825,000 ",1825000,NA,NA,NA,NA,NA,58.7,2.61,1.16,3,0,0.3,1,1,1825000,1,2
559,"Ian Kennedy","RP",37.2,"R","R","PHI","ARI",1,"$4,750,000 ",4750000,NA,NA,NA,NA,NA,56.3,3.2,1.1,3,27,1.14,1,1,4750000,2,3
605,"Jake Diekman","RP",35.1,"L","L","OAK","BOS",2,"$8,000,000 ",4e+06,NA,NA,NA,NA,NA,60.7,3.86,1.34,3,7,0.36,1,2,4e+06,2,3
612,"Jake Marisnick","CF",31,"R","R","SD","PIT",1,"$1,300,000 ",1300000,38,24,5,0.216,0.661,NA,NA,NA,NA,NA,0.42,3,1,1300000,1,2
629,"James Paxton","SP",33,"L","L","SEA","BOS",1,"$10,000,000 ",1e+07,NA,NA,NA,NA,NA,1.3,6.75,0.75,0,NA,-0.01,1,1,1e+07,3,2
641,"Jason Adam","RP",30.6,"R","R","CHC","TB",1,"$900,000 ",9e+05,NA,NA,NA,NA,NA,10.7,5.91,1.5,1,0,-0.1,1,1,9e+05,1,2
647,"Javier Baez","SS",28.9,"R","R","NYM","DET",6,"$140,000,000 ",23333333,133,87,31,0.265,0.813,NA,NA,NA,NA,NA,2.66,2,2,23333333,3,2
655,"Jed Lowrie","2B",37.9,"","R","OAK","OAK",1,"$850,000 ",850000,112,69,14,0.245,0.716,NA,NA,NA,NA,NA,0.13,2,1,850000,1,3
665,"Jesse Chavez","RP",38.5,"R","R","ATL","CHC",1,"$1,250,000 ",1250000,NA,NA,NA,NA,NA,33.7,2.14,0.98,3,0,1.12,1,1,1250000,1,3
672,"Jeurys Familia","RP",32.4,"R","R","NYM","PHI",1,"$6,000,000 ",6e+06,NA,NA,NA,NA,NA,59.3,3.94,1.42,9,1,0.02,1,1,6e+06,3,2
676,"Jhoulys Chacin","SP",33.8,"R","R","COL","COL",1,"$1,250,000 ",1250000,NA,NA,NA,NA,NA,64.3,4.34,1.26,3,NA,0.65,1,1,1250000,1,2
680,"Jimmy Nelson","RP",32.8,"R","R","LAD","LAD",1,"$700,000 ",7e+05,NA,NA,NA,NA,NA,29,1.86,0.93,1,0,0.93,1,1,7e+05,1,2
685,"Joc Pederson","LF",29.8,"L","L","ATL","SF",1,"$6,000,000 ",6e+06,103,61,18,0.24,0.739,NA,NA,NA,NA,NA,-0.26,3,1,6e+06,3,2
