"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","H","RBI","HR","AVG","OPS","IP","ERA","WHIP","W","SV","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age"
989,"Matthew Boyd","SP",31.1,"L","L","DET","SF",1,"$5,200,000 ",5200000,1,NA,NA,0.333,0.833,78.7,3.89,1.27,3,NA,1.35,1,1,5200000,3,2
974,"Matt Carpenter","3B",36.5,"L","R","TEX","NYY",1,"$2,000,000 ",2e+06,35,21,3,0.169,0.58,1.3,NA,NA,NA,NA,-1.05,2,1,2e+06,1,3
976,"Matt Duffy","3B",31.2,"R","R","CHC","LAA",1,"$1,500,000 ",1500000,83,30,5,0.287,0.738,0.3,NA,NA,NA,NA,1.64,2,1,1500000,1,2
1007,"Michael Hermosillo","CF",26.8,"R","R","CHC","CHC",1,"$707,000 ",707000,7,7,3,0.194,0.737,NA,NA,NA,NA,NA,0.12,3,1,707000,1,2
1058,"Nelson Cruz","DH",41.7,"R","R","TB","WSH",1,"$15,000,000 ",1.5e+07,136,86,32,0.265,0.831,NA,NA,NA,NA,NA,2.05,4,1,1.5e+07,3,3
1063,"Nick Castellanos","DH",30,"R","R","CIN","PHI",5,"$100,000,000 ",2e+07,164,100,34,0.309,0.939,NA,NA,NA,NA,NA,3.24,4,2,2e+07,3,2
1087,"Niko Goodrum","2B",30,"","R","DET","HOU",1,"$2,100,000 ",2100000,62,33,9,0.214,0.651,NA,NA,NA,NA,NA,0.03,2,1,2100000,1,2
1093,"Odubel Herrera","CF",30.2,"L","R","PHI","PHI",1,"$1,750,000 ",1750000,117,51,13,0.26,0.726,NA,NA,NA,NA,NA,1.78,3,1,1750000,1,2
1126,"Pedro Severino","C",28.3,"R","R","BAL","MIL",1,"$1,900,000 ",1900000,94,46,11,0.248,0.691,NA,NA,NA,NA,NA,0.95,2,1,1900000,1,2
1168,"Rich Hill","SP",41.7,"L","L","NYM","BOS",1,"$5,000,000 ",5e+06,3,NA,NA,0.125,0.25,158.7,3.86,1.21,7,NA,0.78,1,1,5e+06,2,3
1187,"Roberto Perez","C",32.9,"R","R","CLE","PIT",1,"$5,000,000 ",5e+06,21,17,7,0.149,0.564,NA,NA,NA,NA,NA,-0.11,2,1,5e+06,2,2
1188,"Robinson Chirinos","C",37.8,"R","R","CHC","BAL",1,"$900,000 ",9e+05,22,15,5,0.227,0.778,NA,NA,NA,NA,NA,0.16,2,1,9e+05,1,3
1298,"Starling Marte","RF",33.1,"R","R","OAK","NYM",4,"$78,000,000 ",19500000,144,55,12,0.308,0.837,NA,NA,NA,NA,NA,2.81,3,2,19500000,3,2
1306,"Stephen Vogt","C",37.3,"L","R","ATL","OAK",1,"$850,000 ",850000,41,25,7,0.195,0.616,NA,NA,NA,NA,NA,0.27,2,1,850000,1,3
1326,"Taylor Clarke","RP",28.5,"R","R","ARI","KC",1,"$975,000 ",975000,1,NA,NA,0.333,0.666,43.3,4.99,1.52,1,0,0.02,1,1,975000,1,2
1346,"Tim Locastro","OF",29.6,"R","R","BOS","NYY",1,"$900,000 ",9e+05,25,7,2,0.18,0.515,NA,NA,NA,NA,NA,-0.81,3,1,9e+05,1,2
1356,"Tommy Pham","LF",34,"R","R","SD","CIN",1,"$7,500,000 ",7500000,109,49,15,0.229,0.723,NA,NA,NA,NA,NA,1.38,3,1,7500000,3,2
1385,"Trevor Story","SS",29.3,"R","R","COL","BOS",6,"$140,000,000 ",23333333,132,75,24,0.251,0.8,NA,NA,NA,NA,NA,4.21,2,2,23333333,3,2
1397,"Tyler Anderson","SP",32.2,"L","L","SEA","LAD",1,"$8,000,000 ",8e+06,4,1,1,0.103,0.304,167,4.53,1.25,7,NA,1.36,1,1,8e+06,3,2
1467,"Yan Gomes","C",34.3,"R","R","OAK","CHC",2,"$13,000,000 ",6500000,88,52,14,0.252,0.722,NA,NA,NA,NA,NA,2.05,2,2,6500000,3,3
2050,"Yoshitomo Tsutsugo","1B",29.9,"L","R","PIT","PIT",1,"$4,000,000 ",4e+06,50,32,8,0.217,0.69,NA,NA,NA,NA,NA,-0.6,2,1,4e+06,2,2
1491,"Zach Davies","SP",29.1,"R","R","CHC","ARI",1,"$4,500,000 ",4500000,6,2,NA,0.176,0.352,148,5.78,1.6,6,NA,-0.95,1,1,4500000,2,2
