"PlayerID","Player","Pos","Age","Bats","Throws","BaseSalary","Team","dummy_Pos","contract_value","dummy_salary","dummy_age"
123,"Aroldis Chapman","RP",34,"","L","$18,000,000 "," NYY",1,1.8e+07,3,2
124,"Art Warren","RP",29,"","R","$702,500 "," CIN",1,702500,1,2
128,"Austin Adams","RP",31,"","R","$925,000 "," SD",1,925000,1,2
130,"Austin Barnes","C",32,"R","","$2,600,000 "," LAD",2,2600000,1,2
134,"Austin Gomber","RP",28,"","L","$710,000 "," COL",1,710000,1,2
135,"Austin Hays","LF",26,"R","","$713,000 "," BAL",3,713000,1,2
136,"Austin Hedges","C",29,"R","","$4,000,000 "," CLE",2,4e+06,2,2
137,"Austin Meadows","LF",27,"L","","$4,000,000 "," DET",3,4e+06,2,2
138,"Austin Nola","C",32,"R","","$726,900 "," SD",2,726900,1,2
140,"Austin Riley","3B",25,"R","","$3,950,000 "," ATL",2,3950000,1,1
141,"Austin Romine","C",33,"R","","$700,000 "," CIN",2,7e+05,1,2
142,"Austin Slater","CF",29,"R","","$1,850,000 "," SF",3,1850000,1,2
143,"Austin Voth","SP",30,"","R","$875,000 "," BAL",1,875000,1,2
145,"Austin Wynns","C",31,"R","","$700,000 "," SF",2,7e+05,1,2
146,"Avisail Garcia","RF",31,"R","","$12,000,000 "," MIA",3,1.2e+07,3,2
147,"Bailey Falter","SP",25,"","L","$703,000 "," PHI",1,703000,1,1
148,"Bailey Ober","SP",26,"","R","$706,200 "," MIN",1,706200,1,2
151,"Ben Gamel","LF",30,"L","","$1,800,000 "," PIT",3,1800000,1,2
156,"Billy McKinney","DH",27,"L","","$800,000 "," OAK",4,8e+05,1,2
159,"Blake Snell","SP",29,"","L","$12,500,000 "," SD",1,12500000,3,2
161,"Blake Treinen","RP",34,"","R","$6,000,000 "," LAD",1,6e+06,3,2
162,"Bo Bichette","SS",24,"R","","$825,000 "," TOR",2,825000,1,1
164,"Bobby Dalbec","1B",27,"R","","$714,000 "," BOS",2,714000,1,2
165,"Brad Boxberger","RP",34,"","R","$1,750,000 "," MIL",1,1750000,1,2
167,"Brad Hand","RP",32,"","L","$6,000,000 "," PHI",1,6e+06,3,2
168,"Brad Keller","RP",26,"","R","$4,825,000 "," KC",1,4825000,3,2
169,"Brad Miller","LF",32,"L","","$6,000,000 "," TEX",3,6e+06,3,2
171,"Brad Wieck","RP",30,"","L","$717,000 "," CHC",1,717000,1,2
173,"Bradley Zimmer","CF",29,"L","","$1,300,000 "," TOR",3,1300000,1,2
175,"Brady Singer","SP",25,"","R","$726,250 "," KC",1,726250,1,1
176,"Brandon Belt","1B",34,"L","","$18,400,000 "," SF",2,18400000,3,2
179,"Brandon Crawford","SS",35,"L","","$16,000,000 "," SF",2,1.6e+07,3,3
181,"Brandon Drury","3B",29,"R","","$900,000 "," SD",2,9e+05,1,2
183,"Brandon Lowe","2B",27,"L","","$4,000,000 "," TB",2,4e+06,2,2
184,"Brandon Marsh","LF",24,"L","","$710,000 "," PHI",3,710000,1,1
185,"Brandon Nimmo","CF",29,"L","","$7,000,000 "," NYM",3,7e+06,3,2
187,"Brandon Woodruff","SP",29,"","R","$6,800,000 "," MIL",1,6800000,3,2
190,"Braxton Garrett","SP",24,"","L","$700,000 "," MIA",1,7e+05,1,1
191,"Brendan Rodgers","2B",25,"R","","$710,000 "," COL",2,710000,1,1
194,"Brent Suter","RP",32,"","L","$2,700,000 "," MIL",1,2700000,1,2
197,"Brett Martin","RP",27,"","L","$1,025,000 "," TEX",1,1025000,1,2
198,"Brett Phillips","CF",28,"L","","$1,400,000 "," BAL",3,1400000,1,2
201,"Brian Anderson","3B",29,"R","","$4,475,000 "," MIA",2,4475000,3,2
208,"Brooks Raley","RP",34,"","L","$4,250,000 "," TB",1,4250000,3,2
210,"Brusdar Graterol","RP",23,"","R","$720,000 "," LAD",1,720000,1,1
211,"Bryan Abreu","RP",25,"","R","$719,600 "," HOU",1,719600,1,1
212,"Bryan Baker","RP",27,"","R","$700,500 "," BAL",1,700500,1,2
213,"Bryan De La Cruz","CF",25,"R","","$706,000 "," MIA",3,706000,1,1
214,"Bryan Garcia","RP",27,"","R","$700,000 "," DET",1,7e+05,1,2
217,"Bryan Reynolds","CF",27,"","","$6,750,000 "," PIT",3,6750000,3,2
219,"Bryce Harper","DH",29,"L","","$26,000,000 "," PHI",4,2.6e+07,3,2
220,"Bryse Wilson","SP",24,"","R","$715,000 "," PIT",1,715000,1,1
221,"Buck Farmer","RP",31,"","R","$850,000 "," CIN",1,850000,1,2
224,"Byron Buxton","CF",28,"R","","$9,000,000 "," MIN",3,9e+06,3,2
225,"C.J. Cron","1B",32,"R","","$7,250,000 "," COL",2,7250000,3,2
226,"Cal Quantrill","SP",27,"","R","$2,510,000 "," CLE",1,2510000,1,2
227,"Cal Raleigh","C",25,"","","$702,900 "," SEA",2,702900,1,1
229,"Caleb Smith","RP",30,"","L","$2,000,000 "," ARI",1,2e+06,1,2
230,"Caleb Thielbar","RP",35,"","L","$1,300,000 "," MIN",1,1300000,1,3
234,"Camilo Doval","RP/CL",24,"","R","$703,750 "," SF",1,703750,1,1
235,"Carl Edwards Jr.","RP",30,"","R","$700,000 "," WSH",1,7e+05,1,2
236,"Carlos Carrasco","SP",35,"","R","$12,000,000 "," NYM",1,1.2e+07,3,3
237,"Carlos Correa","SS",27,"R","","$35,100,000 "," MIN",2,35100000,3,2
238,"Carlos Estevez","RP/CL",29,"","R","$3,025,000 "," COL",1,3025000,1,2
239,"Carlos Hernandez","RP",25,"","R","$708,750 "," KC",1,708750,1,1
241,"Carlos Rodon","SP",29,"","L","$21,500,000 "," SF",1,21500000,3,2
242,"Carlos Santana","1B",36,"","","$10,500,000 "," SEA",2,10500000,3,3
244,"Carson Kelly","C",27,"R","","$3,325,000 "," ARI",2,3325000,1,2
245,"Carter Kieboom","3B",24,"R","","$713,400 "," WSH",2,713400,1,1
246,"Casey Mize","SP",25,"","R","$714,200 "," DET",1,714200,1,1
247,"Casey Sadler","RP",31,"","R","$1,025,000 "," SEA",1,1025000,1,2
248,"Cavan Biggio","2B",27,"L","","$2,122,500 "," TOR",2,2122500,1,2
