1-Aug,2023,Texas RangersTEXAS ACQUIRES,Alex Jackson (C),Texas RangersMILWAUKEE ACQUIRES,Evan McKendry (P)
1-Aug,2023,Milwaukee BrewersMILWAUKEE ACQUIRES,"Andrew Chafin (RP) ($1,803,770)",Milwaukee BrewersARIZONA ACQUIRES,Peter Strzelecki (RP)
1-Aug,2023,Chicago White SoxCHICAGO ACQUIRES,Jake Eder (SP),Chicago White SoxMIAMI ACQUIRES,Jake Burger (3B)
1-Aug,2023,Detroit TigersDETROIT ACQUIRES,Eddys Leonard (SS),Detroit TigersLOS ANGELES ACQUIRES,cash considerations
1-Aug,2023,Tampa Bay RaysTAMPA BAY ACQUIRES,cash considerations,Tampa Bay RaysCHICAGO ACQUIRES,Luis Patino (SP)
1-Aug,2023,Texas RangersTEXAS ACQUIRES,"Austin Hedges (C) ($3,360,198)",Texas RangersPITTSBURGH ACQUIRES,International Bonus Space
1-Aug,2023,New York MetsNEW YORK ACQUIRES,Jeremy Rodriguez (SS),New York MetsARIZONA ACQUIRES,"Tommy Pham (LF) ($1,639,802)"
1-Aug,2023,Baltimore OriolesBALTIMORE ACQUIRES,"Jack Flaherty (SP) ($1,770,952)",Baltimore OriolesST. LOUIS ACQUIRES,Cesar Prieto (2B)Drew Rom (P)Zack Showalter (P)
1-Aug,2023,New York MetsNEW YORK ACQUIRES,Phil Bickford (RP)Adam Kolarek (RP),New York MetsLOS ANGELES ACQUIRES,cash considerations
1-Aug,2023,New York YankeesNEW YORK ACQUIRES,"Keynan Middleton (RP) ($245,952)",New York YankeesCHICAGO ACQUIRES,Juan Carela (P)
1-Aug,2023,Philadelphia PhilliesPHILADELPHIA ACQUIRES,Rodolfo Castro (SS),Philadelphia PhilliesPITTSBURGH ACQUIRES,Bailey Falter (SP)
1-Aug,2023,San Diego PadresSAN DIEGO ACQUIRES,"Garrett Cooper (1B) ($1,377,441)Sean Reynolds (RP)",San Diego PadresMIAMI ACQUIRES,Ryan Weathers (SP)
1-Aug,2023,Kansas City RoyalsKANSAS CITY ACQUIRES,Henry Williams (SP)Jesus Rios (),Kansas City RoyalsSAN DIEGO ACQUIRES,"Scott Barlow (RP) ($1,738,195)"
1-Aug,2023,Kansas City RoyalsKANSAS CITY ACQUIRES,Devin Mann (2B)Derlin Figueroa (),Kansas City RoyalsLOS ANGELES ACQUIRES,"Ryan Yarbrough (SP) ($983,869)"
1-Aug,2023,New York YankeesNEW YORK ACQUIRES,Spencer Howard (SP),New York YankeesTEXAS ACQUIRES,cash considerations
