"Team1","Team1Acquired1","Team1Position1","Team1Cash1","Team1Acquired2","Team1Position2","Team1Cash2","Team1Acquired3","Team1Position3","Team1Cash3","Team1Acquired4","Team1Position4","Team1Cash4","Team1Acquired5","Team1Position5","Team1Cash5","Team1Acquired6","Team2","Team2Acquired1","Team2Position1","Team2Cash1","Team2Acquired2","Team2Position2","Team2Cash2","Team2Acquired3","Team2Position3","Team2Cash3","Team2Acquired4","Team2Acquired5","Team2Acquired6","Date"
"Minnesota Twins","Pablo Lopez","SP",NA,"Jose Salas","SS",NA,"Byron Chourio","OF",NA,"",NA,NA,"",NA,NA,NA,"Miami Marlins","Luis Arraez","2B",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-20
"Boston Red Sox","future considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Colorado Rockies","Connor Seabold","SP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-17
"Los Angeles Dodgers","Miguel Rojas","SS","4500000","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Miami Marlins","Jacob Amaya","SS",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-11
"Baltimore Orioles","Darwinzon Hernandez","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Boston Red Sox","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-11
"Minnesota Twins","A.J. Alexy","SP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Washington Nationals","Cristian Jimenez","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-10
"Toronto Blue Jays","Zach Thompson","SP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Pittsburgh Pirates","Chavez Young","CF",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-10
"Philadelphia Phillies","Yunior Marte","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"San Francisco Giants","Erik Miller","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-09
"Seattle Mariners","Justin Topa","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Milwaukee Brewers","Joseph Hernandez","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-07
"Detroit Tigers","Nick Maton","3B",NA,"Matt Vierling","RF",NA,"Donny Sands","C",NA,"",NA,NA,"",NA,NA,NA,"Philadelphia Phillies","Gregory Soto","RP",NA,"Kody Clemens","2B",NA,"",NA,NA,NA,NA,NA,2023-01-07
"Philadelphia Phillies","Erich Uelmen","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Chicago Cubs","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-04
"Milwaukee Brewers","Bryse Wilson","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Pittsburgh Pirates","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-04
"Baltimore Orioles","Ryan O'Hearn","1B","1400000","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Kansas City Royals","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-03
"Detroit Tigers","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Houston Astros","Bligh Madris","OF",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2023-01-03
"Baltimore Orioles","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Detroit Tigers","Tyler Nevin","3B",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-31
"Texas Rangers","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Alanta Braves","Eli White","OF",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-29
"New York Yankees","Caleb Durbin","SS",NA,"Indigo Diaz","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Alanta Braves","Lucas Luetge","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-28
"Pittsburgh Pirates","Scott Randall","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Arizona Diamondbacks","Diego Castillo","2B",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-23
"Toronto Blue Jays","Daulton Varsho","LF",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Arizona Diamondbacks","Gabriel Moreno","C",NA,"Lourdes Gurriel Jr.","OF",NA,"",NA,NA,NA,NA,NA,2022-12-23
"Baltimore Orioles","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Alanta Braves","Lewin Diaz","1B",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-23
"Chicago White Sox","Gregory Santos","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"San Francisco Giants","Kade McClure","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-22
"Baltimore Orioles","James McCann","C",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"New York Mets","Luis De La Cruz","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-21
"Pittsburgh Pirates","Connor Joe","LF",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Colorado Rockies","Nick Garcia","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-18
"Boston Red Sox","Wyatt Mills","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Kansas City Royals","Jacob Wallace","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-16
"Oakland Athletics","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Los Angeles Dodgers","Yonny Hernandez","SS",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-16
"Boston Red Sox","future considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Alanta Braves","Hoy Jun Park","2B",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-16
"Tampa Bay Rays","Jeff Belge","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Los Angeles Dodgers","J.P. Feyereisen","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-14
"Milwaukee Brewers","Owen Miller","SS",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Cleveland Gaurdians","future considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-14
"Cincinnati Reds","cash considerations",NA,NA,"Jake Wong","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"San Francisco Giants","Blake Sabol","C",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-13
"Oakland Athletics","Manuel Pina","C",NA,"Esteury Ruiz","CF",NA,"Kyle Muller","SP",NA,"Freddy Tarnok","SP",NA,"Royber Salinas","SP",NA,NA,"Alanta Braves","Sean Murphy","C",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-12
"Oakland Athletics","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Milwaukee Brewers","William Contreras","C",NA,"Justin Yeager","RP",NA,"Joel Payamps","RP",NA,NA,NA,NA,2022-12-12
"Tampa Bay Rays","Kevin Kelly","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Colorado Rockies","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-07
"Pittsburgh Pirates","future considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"San Francisco Giants","Blake Sabol","C",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-07
"Tampa Bay Rays","Keyshawn Askew","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"New York Mets","Brooks Raley","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-07
"Detroit Tigers","Justyn-Henry Malloy","3B",NA,"Jake Higginbotham","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Alanta Braves","Joe Jimenez","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-07
"Oakland Athletics","Chad Smith","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Colorado Rockies","Jeff Criswell","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-12-06
"Seattle Mariners","Kolten Wong","2B","8250000","$1.75 million",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Milwaukee Brewers","Jesse Winker","RF","8250000","Abraham Toro-Hernandez","3B",NA,"",NA,NA,NA,NA,NA,2022-12-02
"Los Angeles Angels","Hunter Renfroe","RF",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Milwaukee Brewers","Janson Junk","SP",NA,"Elvis Peguero","RP",NA,"Adam Seminaris","P",NA,NA,NA,NA,2022-11-23
"Boston Red Sox","Hoy Jun Park","2B",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Pittsburgh Pirates","Inmer Lobo","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-23
"New York Mets","Elieser Hernandez","RP",NA,"Jeff Brigham","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Miami Marlins","Franklin Sanchez","",NA,"Jake Mangum","CF",NA,"",NA,NA,NA,NA,NA,2022-11-18
"Cincinnati Reds","Kevin Newman","SS",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Pittsburgh Pirates","Dauri Moreta","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-18
"Tampa Bay Rays","TBD",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Milwaukee Brewers","Javier Guerra","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-18
"Minnesota Twins","Kyle Farmer","SS",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Cincinnati Reds","Casey Legumina","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-18
"Minnesota Twins","Alejandro Hidalgo","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Los Angeles Angels","Giovanny Urshela","1B",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-18
"Seattle Mariners","Cooper Hummel","LF",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Arizona Diamondbacks","Kyle Lewis","OF",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-17
"Toronto Blue Jays","Erik Swanson","RP",NA,"Adam Macko","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Seattle Mariners","Teoscar Hernandez","RF",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-16
"Tampa Bay Rays","Tristan Peters","OF",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"San Francisco Giants","Brett Wisely","2B",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-15
"Tampa Bay Rays","Alfredo Zarraga","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Chicago Cubs","Miles Mastrobuoni","LF",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-15
"Texas Rangers","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Alanta Braves","Dennis Santana","RP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-15
"Tampa Bay Rays","Marcus Johnson","RP",NA,"Santiago Suarez","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Miami Marlins","J.T. Chargois","RP",NA,"Xavier Edwards","SS",NA,"",NA,NA,NA,NA,NA,2022-11-15
"Detroit Tigers","Steele Walker","OF",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"San Francisco Giants","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-15
"Arizona Diamondbacks","Carlos Vargas","RP",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Cleveland Gaurdians","Ross Carver","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-15
"Colorado Rockies","Nolan Jones","3B",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Cleveland Gaurdians","Juan Brito","SS",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-15
"Milwaukee Brewers","Payton Henry","C",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Miami Marlins","Reminton Batista","OF",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-10
"Tampa Bay Rays","Jack Hartman","P",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Pittsburgh Pirates","Ji-Man Choi","1B",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-10
"Texas Rangers","cash considerations",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Cincinnati Reds","Nick Solak","LF",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-10
"Texas Rangers","$10M cash",NA,NA,"Jake Odorizzi","SP","2500000","",NA,NA,"",NA,NA,"",NA,NA,NA,"Alanta Braves","Kolby Allard","SP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-09
"Boston Red Sox","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Seattle Mariners","Easton McGee","SP",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-09
"St. Louis Cardninals","Jose Fermin","2B",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Cleveland Gaurdians","cash considerations",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-09
"Alanta Braves","Sam Hilliard","CF",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,"Colorado Rockies","Dylan Spain","P",NA,"",NA,NA,"",NA,NA,NA,NA,NA,2022-11-06
