"PlayerID","PLAYER","AGE","AVG. SALARY","H","RBI","HR","AVG","OPS","WAR","Predicted_Salary","Model_Error","Model_Difference"
244,"Jose Abreu",32.8,17800000,180,123,33,0.284,0.833,2.45,6097949.151854,0.657418586974494,0.979335153304413
104,"Corey Dickerson",30.6,8750000,79,59,12,0.304,0.906,0.45,4432777.64750598,0.493396840285031,0.65497916568604
278,"Kole Calhoun",32.2,8e+06,128,74,33,0.232,0.792,1.63,6475585.04559372,0.190551869300785,0.210618769411369
416,"Travis d'Arnaud",30.8,8e+06,88,69,16,0.251,0.745,-0.41,3633164.37806487,0.545854452741891,0.75075628264466
133,"Didi Gregorius",29.8,1.4e+07,77,61,16,0.238,0.717,0.37,3518442.34496359,0.748682689645458,1.19663123565889
63,"Brett Gardner",36.2,12500000,123,74,28,0.251,0.828,4.28,5545425.99010151,0.55636592079188,0.770785240948405
393,"Starlin Castro",29.8,6e+06,172,86,22,0.27,0.736,1.05,5702315.57762749,0.0496140703954177,0.0508761570131675
146,"Edwin Encarnacion",36.9,1.2e+07,102,86,34,0.244,0.875,2.05,6423600.29439698,0.464699975466918,0.605353960843248
442,"Yan Gomes",32.3,5e+06,70,43,12,0.223,0.705,1.41,3664344.64920462,0.267131070159077,0.30831076206508
304,"Martin Maldonado",33.3,3500000,71,27,12,0.213,0.671,0.98,3295619.85465389,0.058394327241747,0.0601505527729446
206,"Jason Castro",32.5,6850000,55,30,13,0.232,0.767,0.72,3656953.85944112,0.466138122709326,0.607796737907961
371,"Robinson Chirinos",35.6,6750000,87,58,17,0.238,0.79,3.85,5215279.04951086,0.227366066739132,0.256529069508309
438,"Wilmer Flores",28.4,3125000,84,37,9,0.317,0.848,0.63,3611476.97144104,-0.155672630861133,0.144430678974614
82,"Cesar Hernandez",29.6,6250000,171,71,14,0.279,0.741,1.94,4959003.74170937,0.206559401326501,0.230349866596397
174,"Howie Kendrick",36.3,6250000,115,62,17,0.344,0.967,2.79,4806709.37335446,0.230926500263286,0.261070555064732
73,"C.J. Cron",29.9,6100000,116,78,25,0.253,0.78,1.4,5307692.72646926,0.129886438283728,0.138907541170416
238,"Jonathan Schoop",28.2,6100000,111,59,23,0.256,0.777,1.52,5198012.60940907,0.147866785342776,0.159671868278807
407,"Todd Frazier",33.9,5e+06,112,67,21,0.251,0.772,2.13,4700030.12389919,0.0599939752201613,0.0618492669134568
260,"Justin Smoak",33,5e+06,86,61,22,0.208,0.748,0.65,4903577.11395689,0.019284577208622,0.019472335083295
153,"Eric Sogard",33.5,4500000,115,40,13,0.29,0.81,2.39,4205867.0704411,0.0653628732353118,0.067571197028167
272,"Kevin Pillar",31.1,4250000,158,88,21,0.259,0.719,0.78,5269866.4360851,-0.239968573196494,0.214260660678871
