"Player","Pos","Age","Bats","Throws","BaseSalary","Team"
"Max Muncy","1B","32","L","","$13,500,000 "," LAD"
"Tyler Anderson","SP","33","","L","$13,000,000 "," LAA"
"Jose Quintana","SP","34","","L","$13,000,000 "," NYM"
"Manny Machado","3B","30","R","","$13,000,000 "," SD"
"Dansby Swanson","SS","29","R","","$13,000,000 "," CHC"
"Sonny Gray","SP","33","","R","$12,700,000 "," MIN"
"Alex Wood","RP","32","","L","$12,500,000 "," SF"
"Jake Odorizzi","RP","33","","R","$12,500,000 "," TEX"
"Tim Anderson","SS","30","R","","$12,500,000 "," CHW"
"Anthony DeSclafani","SP","33","","R","$12,000,000 "," SF"
"Andrew Heaney","SP","32","","L","$12,000,000 "," TEX"
"James McCann","C","33","R","","$12,000,000 "," BAL"
"Rhys Hoskins","1B","30","R","","$12,000,000 "," PHI"
"Matt Chapman","3B","30","R","","$12,000,000 "," TOR"
"Avisail Garcia","RF","32","R","","$12,000,000 "," MIA"
"Michael Brantley","LF","36","L","","$12,000,000 "," HOU"
"Cody Bellinger","CF","27","L","","$12,000,000 "," CHC"
"Rafael Montero","RP","32","","R","$11,500,000 "," HOU"
"Zach Eflin","SP","29","","R","$11,000,000 "," TB"
"Joey Gallo","1B","29","L","","$11,000,000 "," MIN"
"Ketel Marte","2B","29","","","$11,000,000 "," ARI"
"Eugenio Suarez","3B","31","R","","$11,000,000 "," SEA"
"Ian Happ","LF","28","","","$10,850,000 "," CHC"
"Brandon Woodruff","SP","30","","R","$10,800,000 "," MIL"
"Kyle Freeland","SP","30","","L","$10,500,000 "," COL"
"Mark Canha","LF","34","R","","$10,500,000 "," MIL"
"Lucas Giolito","SP","28","","R","$10,400,000 "," CLE"
"Shane Bieber","SP","28","","R","$10,010,000 "," CLE"
"Corbin Burnes","SP","28","","R","$10,010,000 "," MIL"
"Kyle Gibson","SP","35","","R","$10,000,000 "," BAL"
"J.D. Martinez","DH","35","R","","$10,000,000 "," LAD"
"Matt Boyd","SP","32","","L","$10,000,000 "," DET"
"Luis Castillo","SP","30","","R","$10,000,000 "," SEA"
"Steven Matz","SP","32","","L","$10,000,000 "," STL"
"Jordan Montgomery","SP","30","","L","$10,000,000 "," TEX"
"Yusei Kikuchi","SP","32","","L","$10,000,000 "," TOR"
"Corey Kluber","RP","37","","R","$10,000,000 "," BOS"
"David Robertson","RP/CL","38","","R","$10,000,000 "," MIA"
"Craig Kimbrel","RP/CL","35","","R","$10,000,000 "," PHI"
"Nick Martinez","RP","32","","R","$10,000,000 "," SD"
"Robert Suarez","RP","32","","","$10,000,000 "," SD"
"Christian Vazquez","C","32","R","","$10,000,000 "," MIN"
"Willson Contreras","C","31","R","","$10,000,000 "," STL"
"Ke'Bryan Hayes","3B","26","R","","$10,000,000 "," PIT"
"Enrique Hernandez","SS","31","R","","$10,000,000 "," LAD"
"J.P. Crawford","SS","28","L","","$10,000,000 "," SEA"
"Gleyber Torres","2B","26","R","","$9,950,000 "," NYY"
"Daniel Bard","RP","38","","R","$9,500,000 "," COL"
"Eloy Jimenez","DH","26","R","","$9,500,000 "," CHW"
"Eduardo Escobar","3B","34","","","$9,500,000 "," LAA"
"Luis Robert Jr.","CF","25","R","","$9,500,000 "," CHW"
"Randal Grichuk","RF","31","R","","$9,333,334 "," LAA"
"Brandon Belt","1B","35","L","","$9,300,000 "," TOR"
"Kevin Kiermaier","CF","33","L","","$9,000,000 "," TOR"
"Alex Cobb","SP","35","","R","$9,000,000 "," SF"
"Joe Kelly","RP","35","","R","$9,000,000 "," LAD"
"Taylor Rogers","RP","32","","L","$9,000,000 "," SF"
"Ryan McMahon","3B","28","L","","$9,000,000 "," COL"
"Eddie Rosario","LF","31","L","","$9,000,000 "," ATL"
"Willy Adames","SS","27","R","","$8,700,000 "," MIL"
"Zack Greinke","SP","39","","R","$8,500,000 "," KC"
"Jordan Lyles","SP","32","","R","$8,500,000 "," KC"
"Michael Lorenzen","SP","31","","R","$8,500,000 "," PHI"
"Max Kepler","RF","30","L","","$8,500,000 "," MIN"
"Brandon Drury","3B","30","R","","$8,500,000 "," LAA"
"Giovanny Urshela","1B","31","R","","$8,400,000 "," LAA"
"Justin Turner","3B","38","R","","$8,300,000 "," BOS"
"Jesse Winker","RF","29","L","","$8,250,000 "," MIL"
"Walker Buehler","SP","28","","R","$8,025,000 "," LAD"
"Merrill Kelly","SP","34","","R","$8,000,000 "," ARI"
"Drew Smyly","SP","34","","L","$8,000,000 "," CHC"
"Mike Clevinger","SP","32","","R","$8,000,000 "," CHW"
"Rich Hill","SP","43","","L","$8,000,000 "," SD"
"Kendall Graveman","RP/CL","32","","R","$8,000,000 "," HOU"
"Hector Neris","RP","34","","R","$8,000,000 "," HOU"
"Blake Treinen","RP","35","","R","$8,000,000 "," LAD"
"Drew Pomeranz","RP","34","","L","$8,000,000 "," SD"
"Travis d'Arnaud","C","34","R","","$8,000,000 "," ATL"
"Omar Narvaez","C","31","L","","$8,000,000 "," NYM"
"Adam Frazier","2B","31","L","","$8,000,000 "," BAL"
"Andrew Benintendi","LF","28","L","","$8,000,000 "," CHW"
"Amed Rosario","SS","27","R","","$7,800,000 "," LAD"
"Adam Ottavino","RP","37","","R","$7,750,000 "," NYM"
"Tyler Mahle","SP","28","","R","$7,500,000 "," MIN"
"Frankie Montas","SP","30","","R","$7,500,000 "," NYY"
