"Player","Pos","Age","Bats","Throws","BaseSalary","Team"
"Erik Swanson","RP","29","","R","$1,250,000 "," TOR"
"Cam Gallagher","C","30","R","","$1,250,000 "," CLE"
"Yulieski Gurriel","1B","39","R","","$1,250,000 "," MIA"
"Travis Jankowski","LF","32","L","","$1,250,000 "," TEX"
"Brusdar Graterol","RP","24","","R","$1,225,000 "," LAD"
"Reese McGuire","C","28","L","","$1,225,000 "," BOS"
"Nick Madrigal","2B","26","R","","$1,225,000 "," CHC"
"Rob Refsnyder","RF","32","R","","$1,200,000 "," BOS"
"Jesse Chavez","RP","39","","R","$1,200,000 "," ATL"
"Tyler Matzek","RP","32","","L","$1,200,000 "," ATL"
"Tyler Kinley","RP","32","","R","$1,200,000 "," COL"
"Jimmy Nelson","RP","34","","R","$1,200,000 "," LAD"
"Trevor Gott","RP","30","","R","$1,200,000 "," NYM"
"Brett Phillips","RF","29","L","","$1,200,000 "," LAA"
"Shawn Armstrong","RP","32","","R","$1,200,000 "," TB"
"Colin Poche","RP","29","","L","$1,175,000 "," TB"
"Luke Maile","C","32","R","","$1,175,000 "," CIN"
"Alex Young","RP","29","","L","$1,150,000 "," CIN"
"Taylor Clarke","RP","30","","R","$1,150,000 "," KC"
"Scott Alexander","RP","33","","L","$1,150,000 "," SF"
"Ty Blach","SP","32","","L","$1,100,000 "," COL"
"Caleb Ferguson","RP","26","","L","$1,100,000 "," LAD"
"Alex Reyes","RP","28","","R","$1,100,000 "," LAD"
"Andrew Knizner","C","28","R","","$1,100,000 "," STL"
"Jaime Barria","RP","26","","R","$1,050,000 "," LAA"
"Josh Staumont","RP","29","","R","$1,025,000 "," KC"
"Josh Taylor","RP","30","","L","$1,025,000 "," KC"
"Hoby Milner","RP","32","","L","$1,025,000 "," MIL"
"Spencer Strider","SP","24","","R","$1,000,000 "," ATL"
"Corbin Carroll","RF","22","L","","$1,000,000 "," ARI"
"Garrett Whitlock","SP","27","","R","$1,000,000 "," BOS"
"Hunter Greene","SP","23","","R","$1,000,000 "," CIN"
"Aaron Ashby","SP","25","","L","$1,000,000 "," MIL"
"Daniel Coulombe","RP","33","","L","$1,000,000 "," BAL"
"Derek Law","RP","32","","R","$1,000,000 "," CIN"
"Trey Wingenter","RP","29","","R","$1,000,000 "," DET"
"Justin Wilson","RP","35","","L","$1,000,000 "," MIL"
"Trent Thornton","RP","29","","R","$1,000,000 "," SEA"
"Keibert Ruiz","C","24","","","$1,000,000 "," WSH"
"Andres Gimenez","2B","24","L","","$1,000,000 "," CLE"
"Danny Mendick","2B","29","R","","$1,000,000 "," NYM"
"Michael Chavis","2B","27","R","","$1,000,000 "," WSH"
"Jonathan Hernandez","RP","26","","R","$995,000 "," TEX"
"Ildemaro Vargas","2B","31","","","$975,000 "," WSH"
"Genesis Cabrera","RP","26","","L","$950,000 "," TOR"
"Edmundo Sosa","3B","27","R","","$950,000 "," PHI"
"Jake Cave","LF","30","L","","$950,000 "," PHI"
"Victor Arano","RP","28","","R","$925,000 "," WSH"
"Justin Dunn","SP","27","","R","$900,000 "," CIN"
"Nick Anderson","RP","32","","R","$875,000 "," ATL"
"Hunter Harvey","RP","28","","R","$870,000 "," WSH"
"Griffin Canning","SP","27","","R","$850,000 "," LAA"
"Mark Leiter Jr.","RP/CL","32","","R","$850,000 "," CHC"
"Jake Brentz","RP","28","","L","$850,000 "," KC"
"J.T. Chargois","RP","32","","R","$850,000 "," MIA"
"Keynan Middleton","RP","29","","R","$800,000 "," NYY"
"Jorge Alcala","RP","27","","R","$790,000 "," MIN"
"Codi Heuer","RP","26","","R","$785,000 "," CHC"
"Peter Lambert","SP","26","","R","$775,000 "," COL"
"John Curtiss","RP","30","","R","$775,000 "," NYM"
"Tejay Antone","RP","29","","R","$770,000 "," CIN"
"Logan Gilbert","SP","26","","R","$767,300 "," SEA"
"Alejandro Kirk","C","24","R","","$767,300 "," TOR"
"Luis Garcia","SP","26","","R","$763,200 "," HOU"
"Patrick Wisdom","3B","31","R","","$763,000 "," CHC"
"Andrew Vaughn","1B","25","R","","$760,000 "," CHW"
"Jonathan India","2B","26","R","","$760,000 "," CIN"
"George Kirby","SP","25","","R","$758,300 "," SEA"
"Cal Raleigh","C","26","","","$758,300 "," SEA"
"Joe Mantiply","RP","32","","L","$756,000 "," ARI"
"Jeremy Pena","SS","25","R","","$754,900 "," HOU"
"Chas McCormick","CF","28","R","","$752,500 "," HOU"
"Trevor Rogers","SP","25","","L","$752,000 "," MIA"
"Kolby Allard","SP","25","","L","$750,000 "," ATL"
"Kyle Wright","SP","27","","R","$750,000 "," ATL"
"Huascar Ynoa","SP","25","","R","$750,000 "," ATL"
"Jose Suarez","SP","25","","L","$750,000 "," LAA"
"Colin Rea","SP","32","","R","$750,000 "," MIL"
"Tylor Megill","SP","27","","R","$750,000 "," NYM"
"David Peterson","SP","27","","L","$750,000 "," NYM"
"Denyi Reyes","SP","26","","R","$750,000 "," NYM"
"Pavin Smith","OF","27","L","","$750,000 "," ARI"
"Michael Tonkin","RP","33","","R","$750,000 "," ATL"
"John Schreiber","RP","29","","R","$750,000 "," BOS"
"Enyel De Los Santos","RP","27","","R","$750,000 "," CLE"
"Jimmy Herget","RP","29","","R","$750,000 "," LAA"
"Jose Quijada","RP","27","","L","$750,000 "," LAA"
"J.P. Feyereisen","RP","30","","R","$750,000 "," LAD"
"Alex Vesia","RP","27","","L","$750,000 "," LAD"
"Camilo Doval","RP/CL","25","","R","$750,000 "," SF"
"Dominic Leone","RP","31","","R","$750,000 "," SEA"
"Gavin Lux","2B","25","L","","$750,000 "," LAD"
"Mark Mathias","2B","28","R","","$750,000 "," SF"
"Sam Hilliard","CF","29","L","","$750,000 "," ATL"
"Jazz Chisholm","CF","25","L","","$749,500 "," MIA"
"Alec Bohm","1B","26","R","","$748,000 "," PHI"
"Adolis Garcia","RF","30","R","","$747,760 "," TEX"
"Kevin Ginkel","RP","29","","R","$746,600 "," ARI"
"Bobby Witt Jr.","SS","23","R","","$745,750 "," KC"
"Jonah Heim","C","28","","","$745,660 "," TEX"
"Bryan Abreu","RP","26","","R","$745,200 "," HOU"
"Nick Nelson","RP","27","","R","$745,000 "," PHI"
"David Bednar","RP/CL","28","","R","$745,000 "," PIT"
"Adbert Alzolay","RP","28","","R","$744,750 "," CHC"
"Tarik Skubal","SP","26","","L","$743,700 "," DET"
"Dane Dunning","SP","28","","R","$742,840 "," TEX"
"Brock Burke","RP","26","","L","$742,840 "," TEX"
"Scott Effross","RP","29","","R","$742,750 "," NYY"
"Oswaldo Cabrera","LF","24","","","$742,750 "," NYY"
"Dylan Carlson","CF","24","","","$742,400 "," STL"
"Ryan Jeffers","C","26","R","","$741,650 "," MIN"
"Garrett Stubbs","C","30","L","","$741,000 "," PHI"
"Edward Olivares","LF","27","R","","$740,750 "," KC"
"Clarke Schmidt","SP","27","","R","$740,475 "," NYY"
"Tanner Houck","SP","27","","R","$740,000 "," BOS"
"Justin Steele","SP","27","","L","$740,000 "," CHC"
"Reid Detmers","SP","23","","L","$740,000 "," LAA"
"Chris Rodriguez","SP","24","","R","$740,000 "," LAA"
"Jackson Stephens","RP","29","","R","$740,000 "," ATL"
"Tucker Davidson","RP","27","","L","$740,000 "," KC"
"Andrew Wantz","RP","27","","R","$740,000 "," LAA"
"Phil Bickford","RP","27","","R","$740,000 "," NYM"
"Tyler Stephenson","C","26","R","","$740,000 "," CIN"
"Matt Thaiss","C","28","L","","$740,000 "," LAA"
"Carlos Perez","C","32","R","","$740,000 "," OAK"
"Jake Fraley","RF","28","L","","$740,000 "," CIN"
"Drew Rasmussen","SP","27","","R","$739,700 "," TB"
"Triston McKenzie","SP","25","","R","$739,500 "," CLE"
"Steven Okert","RP","31","","L","$739,000 "," MIA"
"William Contreras","C","25","R","","$739,000 "," MIL"
"Albert Abreu","RP","27","","R","$738,700 "," NYY"
"Geraldo Perdomo","SS","23","","","$738,600 "," ARI"
"Anthony Bender","RP","28","","R","$738,500 "," MIA"
"Ryan Mountcastle","1B","26","R","","$738,400 "," BAL"
"Jesus Sanchez","CF","25","","","$738,000 "," MIA"
"Cole Irvin","RP","29","","L","$737,600 "," BAL"
"Shane McClanahan","SP","26","","L","$737,000 "," TB"
"Julian Merryweather","RP","31","","R","$737,000 "," CHC"
"A.J. Puk","RP/CL","28","","L","$736,000 "," MIA"
"Bryan De La Cruz","LF","26","R","","$736,000 "," MIA"
"Alex Kirilloff","1B","25","L","","$735,650 "," MIN"
"Nick Gordon","SS","27","L","","$735,400 "," MIN"
"Tyrone Taylor","RF","29","R","","$735,400 "," MIL"
"Alek Thomas","CF","23","L","","$735,200 "," ARI"
"Johan Oviedo","SP","25","","R","$735,000 "," PIT"
"Jimmy Lambert","RP","28","","R","$735,000 "," CHW"
"Isaac Paredes","3B","24","R","","$735,000 "," TB"
"Gavin Sheets","OF","27","L","","$735,000 "," CHW"
"Connor Joe","LF","30","R","","$735,000 "," PIT"
"Ramon Urias","3B","29","R","","$734,700 "," BAL"
"Brandon Marsh","CF","25","L","","$734,500 "," PHI"
"Zach McKinstry","2B","28","L","","$734,500 "," DET"
"Bryson Stott","2B","25","L","","$734,500 "," PHI"
"Casey Mize","SP","26","","R","$734,200 "," DET"
"Matt Foster","RP","28","","R","$734,000 "," CHW"
"Adley Rutschman","C","25","R","","$733,900 "," BAL"
"Trevor Larnach","OF","26","L","","$733,650 "," MIN"
"Josh Sborz","RP","29","","R","$733,450 "," TEX"
"Leodys Taveras","CF","24","","","$733,445 "," TEX"
"Carter Kieboom","3B","25","R","","$733,400 "," WSH"
"Griffin Jax","RP","28","","R","$733,150 "," MIN"
"Bailey Falter","SP","26","","L","$733,000 "," PIT"
"Garrett Crochet","RP","24","","L","$733,000 "," CHW"
"Bryse Wilson","RP","25","","R","$732,600 "," MIL"
"Triston Casas","1B","23","","","$732,500 "," BOS"
"Tyler Wells","SP","28","","R","$732,400 "," BAL"
"Lars Nootbaar","CF","25","L","","$732,400 "," STL"
"Cionel Perez","RP","27","","L","$732,300 "," BAL"
"Braxton Garrett","SP","25","","L","$732,000 "," MIA"
"Seby Zavala","C","29","R","","$732,000 "," ARI"
"Jake Meyers","CF","27","R","","$732,000 "," HOU"
"Felix Bautista","RP/CL","28","","R","$731,800 "," BAL"
"Jose Siri","CF","27","R","","$731,600 "," TB"
"Dean Kremer","SP","27","","R","$731,200 "," BAL"
"Keegan Akin","RP","28","","L","$731,100 "," BAL"
"Edward Cabrera","SP","25","","R","$731,000 "," MIA"
"Joel Payamps","RP","29","","R","$730,500 "," MIL"
"Daniel Lynch","SP","26","","L","$730,250 "," KC"
"Joe Ryan","SP","27","","R","$730,250 "," MIN"
"Carlos Hernandez","RP","26","","R","$730,250 "," KC"
"Sam Hentges","RP","26","","L","$730,200 "," CLE"
"Seth Martinez","RP","28","","R","$730,200 "," HOU"
"Kutter Crawford","SP","27","","R","$730,000 "," BOS"
"Vladimir Gutierrez","SP","27","","R","$730,000 "," CIN"
"Nick Lodolo","SP","25","","","$730,000 "," CIN"
"Connor Overton","SP","29","","R","$730,000 "," CIN"
"James Kaprielian","SP","29","","R","$730,000 "," OAK"
"Josiah Gray","SP","25","","R","$730,000 "," WSH"
"Dylan Lee","RP","28","","L","$730,000 "," ATL"
"Alexis Diaz","RP/CL","26","","R","$730,000 "," CIN"
"Ian Gibaut","RP","29","","R","$730,000 "," CIN"
"Davis Daniel","RP","26","","","$730,000 "," LAA"
"Logan O'Hoppe","C","23","","","$730,000 "," LAA"
"Nick Fortes","C","26","R","","$730,000 "," MIA"
"Ben Rortvedt","C","25","L","","$730,000 "," NYY"
"Luis Garcia","2B","23","L","","$730,000 "," WSH"
"Seth Brown","LF","30","L","","$730,000 "," OAK"
"Brayan Bello","SP","24","","R","$729,500 "," BOS"
"Tommy Nance","RP","32","","R","$729,500 "," MIA"
"Jarred Kelenic","LF","23","L","","$729,400 "," SEA"
"Matt Manning","SP","25","","R","$729,200 "," DET"
"Bryan Baker","RP","28","","R","$729,000 "," BAL"
"Kyle Nelson","RP","26","","L","$728,900 "," ARI"
"Riley Adams","C","27","R","","$728,800 "," WSH"
"Packy Naughton","RP","27","","L","$728,750 "," STL"
"Andre Pallante","RP","24","","","$728,600 "," STL"
"Brendan Donovan","2B","26","L","","$728,600 "," STL"
"Corbin Martin","RP","27","","R","$728,400 "," ARI"
"Kyle Bradish","SP","26","","R","$728,100 "," BAL"
"Brandon Hughes","RP","27","","","$728,000 "," CHC"
"Jose Miranda","SS","25","R","","$727,850 "," MIN"
"Riley Greene","CF","22","L","","$727,800 "," DET"
"Ryan Weathers","SP","23","","L","$727,600 "," MIA"
"Taylor Walls","SS","26","","","$727,600 "," TB"
"Kyle Isbel","CF","26","L","","$727,500 "," KC"
"Wyatt Mills","RP","28","","R","$727,500 "," BOS"
"Nick Pratto","1B","24","L","","$727,500 "," KC"
"Steven Kwan","LF","25","L","","$727,300 "," CLE"
"Matt Vierling","RF","26","R","","$727,100 "," DET"
"Royce Lewis","SS","24","R","","$727,100 "," MIN"
"Josh H. Smith","SS","25","","","$727,095 "," TEX"
"Eli Morgan","RP","27","","R","$727,000 "," CLE"
"Penn Murfee","RP","29","","","$727,000 "," SEA"
"Nolan Gorman","3B","23","","","$726,950 "," STL"
"Sam Haggerty","2B","29","","","$726,600 "," SEA"
"MJ Melendez","RF","24","L","","$726,500 "," KC"
"Steven Wilson","RP","28","","R","$726,400 "," SD"
"Jason Foley","RP","27","","R","$726,200 "," DET"
"Jovani Moran","RP","26","","L","$726,200 "," MIN"
"Jose Cuas","RP","29","","","$726,000 "," CHC"
"Nick Sandlin","RP","26","","R","$726,000 "," CLE"
"Alex Lange","RP/CL","27","","R","$726,000 "," DET"
"Jake Rogers","C","28","R","","$726,000 "," DET"
"Matt Brash","RP","25","","R","$725,800 "," SEA"
"Vinnie Pasquantino","1B","25","","","$725,500 "," KC"
"Garrett Cleavinger","RP","29","","L","$725,100 "," TB"
"Ryan Rolison","SP","25","","L","$725,000 "," COL"
"Hunter Brown","SP","24","","","$725,000 "," HOU"
"Cristopher Sanchez","SP","26","","L","$725,000 "," PHI"
"Jack Suwinski","CF","24","L","","$725,000 "," PIT"
"Sam Moll","RP","31","","L","$725,000 "," CIN"
"Lucas Gilbreath","RP","27","","L","$725,000 "," COL"
"Zach Jackson","RP","28","","","$725,000 "," OAK"
"Dany Jimenez","RP","29","","R","$725,000 "," OAK"
"Colin Holderman","RP","27","","","$725,000 "," PIT"
"Dauri Moreta","RP","27","","R","$725,000 "," PIT"
"Zack Thompson","RP","25","","L","$725,000 "," STL"
"Ji-Hwan Bae","2B","23","L","","$725,000 "," PIT"
"Brent Rooker","LF","28","R","","$725,000 "," OAK"
"Beau Brieske","RP","25","","","$724,400 "," DET"
"Garrett Mitchell","OF","24","","","$724,300 "," MIL"
"CJ Abrams","SS","22","L","","$724,200 "," WSH"
"Ezequiel Duran","2B","24","R","","$724,170 "," TEX"
"Cole Ragans","RP","25","","","$724,145 "," KC"
"Huascar Brazoban","RP","33","","","$724,000 "," MIA"
"Thomas Szapucki","RP","27","","L","$723,750 "," SF"
"Jose Azocar","OF","27","","","$723,700 "," SD"
"Kerry Carpenter","LF","25","","","$723,700 "," DET"
"Drey Jameson","SP","25","","R","$723,600 "," ARI"
"Shane Baz","SP","24","","R","$723,600 "," TB"
"Zack Kelly","RP","28","","","$723,500 "," BOS"
"Andrew Vasquez","RP","29","","L","$723,500 "," DET"
"Luis Gil","SP","25","","R","$723,400 "," NYY"
"MacKenzie Gore","SP","24","","L","$723,300 "," WSH"
"Joey Meneses","1B","31","","","$723,300 "," WSH"
"Josh Lowe","RF","25","L","","$723,200 "," TB"
"Gunnar Henderson","SS","22","","","$723,200 "," BAL"
"Spencer Torkelson","1B","23","R","","$723,100 "," DET"
"Andrew Nardi","RP","24","","","$723,000 "," MIA"
"Romy Gonzalez","2B","26","R","","$723,000 "," CHW"
"Tyler Nevin","3B","26","R","","$723,000 "," DET"
"Michael Massey","2B","25","","","$722,850 "," KC"
"Ryne Nelson","SP","25","","R","$722,700 "," ARI"
"Luis Campusano","C","24","R","","$722,700 "," SD"
"Oscar Gonzalez","OF","25","","","$722,600 "," CLE"
"Graham Ashcraft","SP","25","","","$722,500 "," CIN"
"Michael Grove","SP","26","","","$722,500 "," LAD"
"Ryan Pepiot","SP","25","","","$722,500 "," LAD"
"Andre Jackson","SP","27","","R","$722,500 "," PIT"
"Bryce Montes de Oca","RP","27","","","$722,500 "," NYM"
"Stuart Fairchild","OF","27","R","","$722,500 "," CIN"
"Gabriel Moreno","C","23","R","","$722,500 "," ARI"
"James Outman","CF","26","L","","$722,500 "," LAD"
"T.J. Friedl","LF","27","L","","$722,500 "," CIN"
"Drew Waters","OF","24","","","$722,400 "," KC"
"Garrett Hill","RP","27","","","$722,300 "," DET"
"Luke Raley","CF","28","L","","$722,300 "," TB"
"Terrin Vavra","SS","26","L","","$722,100 "," BAL"
"Ryan Feltner","SP","26","","R","$722,000 "," COL"
"Kaleb Ort","RP","31","","","$722,000 "," BOS"
"Josh Winckowski","RP","25","","R","$722,000 "," BOS"
"Jake Bird","RP","27","","","$722,000 "," COL"
"Justin Lawrence","RP/CL","28","","R","$722,000 "," COL"
"Connor Seabold","RP","27","","R","$722,000 "," COL"
"Connor Wong","C","27","R","","$722,000 "," BOS"
"Sean Bouchard","1B","27","","","$722,000 "," COL"
"Alan Trejo","2B","27","R","","$722,000 "," COL"
"Elehuris Montero","3B","24","R","","$722,000 "," COL"
"Ezequiel Tovar","SS","21","R","","$722,000 "," COL"
"Alex Call","LF","28","","","$721,800 "," WSH"
"Javier Assad","SP","25","","","$721,500 "," CHC"
"Max Meyer","SP","24","","R","$721,500 "," MIA"
"Calvin Faucher","RP","27","","R","$721,500 "," TB"
"Josh Jung","3B","25","R","","$721,485 "," TEX"
"Alec Burleson","RF","24","","","$721,450 "," STL"
"Angel Zerpa","RP","23","","L","$721,400 "," KC"
"Akil Baddoo","LF","24","L","","$721,300 "," DET"
"Ethan Roberts","RP","25","","R","$721,000 "," CHC"
"Miles Mastrobuoni","LF","27","","","$720,500 "," CHC"
"Wilking Rodriguez","RP","33","","R","$720,400 "," STL"
"Eguy Rosario","SS","23","R","","$720,400 "," SD"
"Yainer Diaz","C","24","","","$720,300 "," HOU"
"Cade Cavalli","SP","24","","R","$720,200 "," WSH"
"Xzavion Curry","SP","24","","","$720,100 "," CLE"
"Will Brennan","RF","25","","","$720,100 "," CLE"
"Gabriel Arias","SS","23","R","","$720,100 "," CLE"
"Tommy Henry","SP","25","","L","$720,000 "," ARI"
"Brandon Pfaadt","SP","24","","","$720,000 "," ARI"
"Jesse Scholtens","SP","29","","","$720,000 "," CHW"
"J.J. Bleday","OF","25","L","","$720,000 "," OAK"
"Andrew Abbott","SP","24","","","$720,000 "," CIN"
"Ben Lively","SP","31","","R","$720,000 "," CIN"
"Ceddanne Rafaela","OF","22","","","$720,000 "," BOS"
"Logan Allen","SP","24","","","$720,000 "," CLE"
"Tanner Bibee","SP","24","","","$720,000 "," CLE"
"Chase Anderson","SP","35","","R","$720,000 "," COL"
"Chris Flexen","SP","28","","R","$720,000 "," COL"
"Karl Kauffmann","SP","25","","","$720,000 "," COL"
"Alex Faedo","SP","27","","R","$720,000 "," DET"
"Reese Olson","SP","23","","","$720,000 "," DET"
"J.P. France","SP","28","","","$720,000 "," HOU"
"Jonathan Bowlan","SP","26","","R","$720,000 "," KC"
"Alec Marsh","SP","25","","","$720,000 "," KC"
"Anthony Veneziano","SP","25","","","$720,000 "," KC"
"Jo Adell","RF","24","R","","$720,000 "," LAA"
"Bobby Miller","SP","24","","","$720,000 "," LAD"
"Emmet Sheehan","SP","23","","","$720,000 "," LAD"
"Eury Perez","SP","20","","","$720,000 "," MIA"
"Janson Junk","SP","27","","R","$720,000 "," MIL"
"Matt Canterino","SP","25","","","$720,000 "," MIN"
"Dallas Keuchel","SP","35","","L","$720,000 "," MIN"
"Bailey Ober","SP","27","","R","$720,000 "," MIN"
"Jose Butto","SP","25","","R","$720,000 "," NYM"
"Joe Boyle","SP","23","","","$720,000 "," OAK"
"Joey Estes","SP","21","","","$720,000 "," OAK"
"Jake Marisnick","CF","32","R","","$720,000 "," LAD"
"Pedro Avila","SP","26","","R","$720,000 "," SD"
"Reiss Knehr","SP","26","","R","$720,000 "," SD"
"Kyle Harrison","SP","21","","","$720,000 "," SF"
"Easton McGee","SP","25","","R","$720,000 "," SEA"
"Bryce Miller","SP","24","","","$720,000 "," SEA"
"Bryan Woo","SP","23","","","$720,000 "," SEA"
"Matthew Liberatore","SP","23","","","$720,000 "," STL"
"Drew Rom","SP","23","","","$720,000 "," STL"
"Jasson Dominguez","OF","20","","","$720,000 "," NYY"
"Cory Abbott","SP","27","","R","$720,000 "," WSH"
"Joan Adon","SP","24","","R","$720,000 "," WSH"
"Jake Irvin","SP","26","","R","$720,000 "," WSH"
"Jackson Rutledge","SP","24","","R","$720,000 "," WSH"
"Luis Frias","RP","25","","R","$720,000 "," ARI"
"Bryce Jarvis","RP","25","","R","$720,000 "," ARI"
"Justin Martinez","RP","21","","","$720,000 "," ARI"
"Andrew Saalfrank","RP","25","","","$720,000 "," ARI"
"Ryan Thompson","RP","31","","R","$720,000 "," ARI"
"Dominic Fletcher","OF","25","L","","$720,000 "," ARI"
"Mauricio Llovera","RP","27","","R","$720,000 "," BOS"
"Chris Murphy","RP","25","","","$720,000 "," BOS"
"Nick Robertson","RP","24","","","$720,000 "," BOS"
"Will Benson","OF","25","","","$720,000 "," CIN"
"Tanner Banks","RP","31","","","$720,000 "," CHW"
"Declan Cronin","RP","25","","","$720,000 "," CHW"
"Deivi Garcia","RP","24","","R","$720,000 "," CHW"
"Luis Patino","RP","23","","R","$720,000 "," CHW"
"Sammy Peralta","RP","25","","","$720,000 "," CHW"
"Yohan Ramirez","RP","28","","R","$720,000 "," CHW"
"Lane Ramsey","RP","26","","","$720,000 "," CHW"
"Gregory Santos","RP","23","","R","$720,000 "," CHW"
"Bryan Shaw","RP","35","","R","$720,000 "," CHW"
"Alan Busenitz","RP","32","","R","$720,000 "," CIN"
"Fernando Cruz","RP","33","","","$720,000 "," CIN"
"Daniel Duarte","RP","26","","R","$720,000 "," CIN"
"Matt Wallner","RF","25","","","$720,000 "," MIN"
"Tommy Doyle","RP","27","","R","$720,000 "," COL"
"Gavin Hollowell","RP","25","","","$720,000 "," COL"
"Matt Koch","RP","32","","R","$720,000 "," COL"
"Nick Mears","RP","26","","R","$720,000 "," COL"
"Victor Vodnik","RP","23","","","$720,000 "," COL"
"Miguel Diaz","RP","28","","R","$720,000 "," DET"
"Mason Englert","RP","23","","","$720,000 "," DET"
"Brenan Hanifee","RP","25","","","$720,000 "," DET"
"Tyler Holton","RP","27","","","$720,000 "," DET"
"Freddy Pacheco","RP","25","","R","$720,000 "," DET"
"Will Vest","RP","28","","R","$720,000 "," DET"
"Billy McKinney","OF","28","L","","$720,000 "," NYY"
"Austin Cox","RP","26","","L","$720,000 "," KC"
"Steven Cruz","RP","0","","","$720,000 "," KC"
"Jackson Kowar","RP","26","","R","$720,000 "," KC"
"James McArthur","RP","26","","R","$720,000 "," KC"
"John McMillon","RP","25","","","$720,000 "," KC"
"Collin Snider","RP","27","","R","$720,000 "," KC"
"Blake Rutherford","OF","26","L","","$720,000 "," WSH"
"Ryan Brasier","RP","35","","R","$720,000 "," LAD"
"Tyler Cyr","RP","30","","R","$720,000 "," LAD"
"Victor Gonzalez","RP","27","","L","$720,000 "," LAD"
"Gus Varland","RP","26","","","$720,000 "," LAD"
"Bryan Hoeing","RP","26","","","$720,000 "," MIA"
"George Soriano","RP","24","","","$720,000 "," MIA"
"J.B. Bukauskas","RP","26","","R","$720,000 "," MIL"
"Trevor Megill","RP","29","","R","$720,000 "," MIL"
"Jean Carlos Mejia","RP","26","","R","$720,000 "," MIL"
"Elvis Peguero","RP","26","","R","$720,000 "," MIL"
"Abner Uribe","RP","23","","","$720,000 "," MIL"
"Thyago Vieira","RP","30","","R","$720,000 "," MIL"
"Jose De Leon","RP","30","","R","$720,000 "," MIN"
"Jhoan Duran","RP/CL","25","","R","$720,000 "," MIN"
"Kody Funderburk","RP","26","","","$720,000 "," MIN"
"Oliver Ortega","RP","26","","R","$720,000 "," MIN"
"Brock Stewart","RP","31","","R","$720,000 "," MIN"
"Louie Varland","RP","25","","","$720,000 "," MIN"
"Reed Garrett","RP","30","","R","$720,000 "," NYM"
"Grant Hartwig","RP","25","","","$720,000 "," NYM"
"Anthony Kay","RP","28","","L","$720,000 "," NYM"
"Evan Carter","OF","20","","","$720,000 "," TEX"
"Matthew Bowman","RP","32","","R","$720,000 "," NYY"
"Jhony Brito","RP","25","","","$720,000 "," NYY"
"Jimmy Cordero","RP","31","","R","$720,000 "," NYY"
"Ian Hamilton","RP","28","","R","$720,000 "," NYY"
"Zach McAllister","RP","35","","R","$720,000 "," NYY"
"Anthony Misiewicz","RP","28","","L","$720,000 "," NYY"
"Nick Ramirez","RP","33","","L","$720,000 "," NYY"
"Luke Weaver","RP","29","","R","$720,000 "," NYY"
"Ryan Weber","RP","32","","R","$720,000 "," NYY"
"Greg Weissert","RP","28","","","$720,000 "," NYY"
"Lucas Erceg","RP","28","","R","$720,000 "," OAK"
"Angel Felipe","RP","25","","","$720,000 "," OAK"
"Forrest Wall","OF","27","L","","$720,000 "," ATL"
"Dylan Covey","RP","31","","R","$720,000 "," PHI"
"Orion Kerkering","RP","22","","","$720,000 "," PHI"
"Erich Uelmen","RP","27","","","$720,000 "," PHI"
"Estevan Florial","OF","25","L","","$720,000 "," NYY"
"Dairon Blanco","OF","30","","","$720,000 "," KC"
"Mike Siani","OF","23","","","$720,000 "," STL"
"Jonathan Davis","CF","31","R","","$720,000 "," MIA"
"Drew Carlton","RP","27","","R","$720,000 "," SD"
"Thomas Cosgrove","RP","27","","","$720,000 "," SD"
"Alek Jacob","RP","25","","","$720,000 "," SD"
"Ray Kerr","RP","28","","L","$720,000 "," SD"
"Matt Waldron","RP","26","","","$720,000 "," SD"
"Tristan Beck","RP","27","","","$720,000 "," SF"
"Sean Hjelle","RP","26","","R","$720,000 "," SF"
"Cole Waites","RP","25","","","$720,000 "," SF"
"Ryan Walker","RP","27","","","$720,000 "," SF"
"Keaton Winn","RP","25","","","$720,000 "," SF"
"Prelander Berroa","RP","23","","","$720,000 "," SEA"
"Isaiah Campbell","RP","25","","R","$720,000 "," SEA"
"Tayler Saucedo","RP","30","","L","$720,000 "," SEA"
"Gabe Speier","RP","28","","L","$720,000 "," SEA"
"Justin Topa","RP","32","","R","$720,000 "," SEA"
"Jacob Barnes","RP","33","","R","$720,000 "," STL"
"John King","RP","28","","L","$720,000 "," STL"
"Casey Lawrence","RP","35","","R","$720,000 "," STL"
"James Naile","RP","30","","","$720,000 "," STL"
"JoJo Romero","RP","26","","L","$720,000 "," STL"
"Andrew Suarez","RP","30","","L","$720,000 "," STL"
"Guillermo Zuniga","RP","24","","","$720,000 "," STL"
"Cody Bradford","RP","25","","R","$720,000 "," TEX"
"Matt Bush","RP","37","","R","$720,000 "," TEX"
"Ian Kennedy","RP","38","","R","$720,000 "," TEX"
"Jose Ferrer","RP","23","","","$720,000 "," WSH"
"Robert Garcia","RP","27","","","$720,000 "," WSH"
"Joe LaSorsa","RP","25","","","$720,000 "," WSH"
"Andres Machado","RP","30","","R","$720,000 "," WSH"
"Thad Ward","RP","26","","","$720,000 "," WSH"
"Jordan Weems","RP","30","","R","$720,000 "," WSH"
"Korey Lee","C","24","","","$720,000 "," CHW"
"Carlos Perez","C","26","","","$720,000 "," CHW"
"David Fry","C","27","","","$720,000 "," CLE"
"Sam Bachman","P","23","","","$720,000 "," LAA"
