"Player","AvgSalary","LinearPredictedSalary","Linear_Model_Error","Linear_Model_Difference","ExpPredictedSalary","Exp_Model_Error","Exp_Model_Difference"
"Aaron Loup",8500000,1073034.9,-0.8737606,1.55164275020036,3127829.85191491,-0.632020017421775,1.12235465642878
"Aaron Nola",24571429,27244733.94,0.10879729217214,0.103184210806791,18156433.7418808,-0.261075383858187,0.247605955135943
"Adam Cimber",1650000,2873275.79,0.741379266666666,0.540880479896628,3190135.49569983,0.933415451939293,0.680982353145366
"Adam Kolarek",9e+05,3763732.57,3.18192507777778,1.22808609928506,1731862.31995148,0.924291466612754,0.356736715695291
"Adam Ottavino",4500000,7028704.93,0.561934428888889,0.438679790202593,5021702.47188809,0.115933882641799,0.0905049569844605
"Adam Wainwright",8e+06,2731850.02,-0.6585187475,0.981778532160292,5151103.2654618,-0.356112091817275,0.530923695211723
"Álex Claudio",1125000,3995442.99,2.55150488,1.12116978769448,2652600.58876483,1.35786719001318,0.59666735544099
"Alex Cobb",1e+07,10448192.06,0.0448192060000002,0.0438368398227968,9162969.93672866,-0.083703006327134,0.0818683686866094
"Alex Reyes",1100000,7629236.91,5.93566991818182,1.49594677686437,2491653.66375641,1.26513969432401,0.31884887032042
"Alex Wood",12500000,10799870.13,-0.1360103896,0.145934707834356,9416935.48913589,-0.246645160869129,0.264642205614226
"Andrew Chafin",4750000,5878709.78,0.237623111578948,0.212388860616721,4515806.406609,-0.0493039143981063,0.0440681132966272
"Andrew Heaney",12500000,10023032.39,-0.1981574088,0.219949744520169,6897898.23125308,-0.448168141499753,0.497455375612228
"Anthony Banda",7e+05,3619734.75,4.17104964285714,1.35181205281181,1059439.96863967,0.513485669485248,0.166417611007099
"Anthony Bass",2500000,2068837.57,-0.172464972,0.188740537781911,2330670.3382867,-0.0677318646853199,0.0741237389681594
"Anthony DeSclafani",1.2e+07,8805592.88,-0.266200593333333,0.307071962661609,10184074.2393963,-0.151327146716975,0.174561308690157
"Archie Bradley",3750000,6598494.48,0.759598528,0.550513794157235,3096210.51753525,-0.174343861990601,0.126354511514366
"Aroldis Chapman",10500000,15445163.28,0.470967931428572,0.381201168528549,13263381.3236748,0.263179173683317,0.213017069413088
"Austin Adams",8e+05,7648425.2,8.5605315,1.62123118519177,2980553.00376944,2.7256912547118,0.516203423040175
"Austin Voth",1250000,2371343.6,0.897074880000002,0.619296992420162,1333667.17990002,0.0669337439200191,0.0462078107694745
"Ben Lively",750000,1323614.28,0.764819040000001,0.553250703886935,1549485.04862132,1.06598006482842,0.77110295423054
"Blake Treinen",8750000,6256237.04,-0.285001481142857,0.332363530357775,4987922.5380485,-0.429951709937314,0.501401844036378
"Brad Boxberger",2800000,2431799.72,-0.1315001,0.140754730572905,2503326.47653197,-0.10595482981001,0.113411651571413
"Brad Hand",2e+06,4358751.8,1.1793759,0.74189145108636,3944321.87625047,0.972160938125234,0.611541993587631
"Brent Suter",3e+06,4360442.03,0.453480676666667,0.369663132853993,3484479.81483528,0.161493271611759,0.131644217252337
"Brooks Raley",5e+06,6069512.19,0.213902438,0.19323564970933,4648417.23476116,-0.0703165530477675,0.0635227206410145
"Bryan Shaw",3e+06,2876267.88,-0.0412440400000003,0.0421124844975587,3139182.14003328,0.0463940466777611,0.0473709309635092
"Buck Farmer",2250000,2564735.28,0.139882346666667,0.13073835286745,1834442.49707246,-0.184692223523352,0.172619044977917
"Chad Green",4250000,10658455.31,1.50787183764706,0.859707485013751,8854552.11480962,1.08342402701403,0.617710154280178
"Chad Kuhl",3e+06,4112104.57,0.370701523333334,0.31273571951994,3057046.06361133,0.0190153545371098,0.0160419642455649
"Charlie Morton",1.5e+07,13781672.14,-0.0812218573333333,0.0846599776464551,23228144.3514565,0.54854295676377,0.57176277399264
