,,Team1,Team1Acquired1,Team1Acquired2,Team1Acquired3,Team1Acquired4,Team1Acquired5,Team1Acquired6,Team2,Team2Acquired1,Team2Acquired2,Team2Acquired3,Team2Acquired4,Team2Acquired5,Team2Acquired6
28-Jul,2023,New York Mets,Ronald Hernandez ©,Marco Vargas (3B),,,,,Miami Marlins,"David Robertson (RP)($3,494,595)",,,,,
27-Jul,2023,Milwaukee Brewers,"Carlos Santana (1B)($2,386,296)",,,,,,Pittsburgh Pirates,Jhonny Severino (SS),,,,,
27-Jul,2023,Los Angeles Dodgers,"Amed Rosario (SS)($2,767,710)",,,,,,Cleveland Gaurdians,"Noah Syndergaard (SP)($2,767,710)",,,,,
27-Jul,2023,Chicago White Sox,Ky Bush (P),Edgar Quero (C),,,,,Los Angeles Angels,"Lucas Giolito (SP)($3,690,324)","Reynaldo Lopez (RP)($1,286,274)",,,,
27-Jul,2023,Boston Red Sox,Mauricio Llovera (RP),,,,,,San Francisco Giants,Marques Johnson (P),,,,,
26-Jul,2023,Minnesota Twins,"Dylan Floro (RP)($1,383,888)",,,,,,Miami Marlins,"Jorge Lopez (RP)($1,250,832)",,,,,
26-Jul,2023,Toronto Blue Jays,Mason McCoy (SS),,,,,,Seattle Mariners,"Trent Thornton (RP)($360,192)",,,,,
25-Jul,2023,San Diego Padres,cash considerations,,,,,,Miami Marlins,Jose Castillo (RP),,,,,
25-Jul,2023,Boston Red Sox,Justin Hagenman (P),Nick Robertson (P),,,,,Los Angeles Dodgers,"Enrique Hernandez (SS)($1,102,121)",,,,,
24-Jul,2023,Texas Rangers,cash considerations,,,,,,Alanta Braves,"Taylor Hearn (RP)($542,547)",,,,,
24-Jul,2023,Alanta Braves,"Pierce Johnson (RP)($1,854,858)",,,,,,Colorado Rockies,Victor Vodnik (P),Tanner Gordon (P),,,,
21-Jul,2023,Toronto Blue Jays,"Genesis Cabrera (RP)($367,776)",,,,,,St. Louis Cardninals,Sammy Hernandez (C),,,,,
20-Jul,2023,Baltimore Orioles,"Shintaro Fujinami (RP)($1,275,529)",,,,,,Oakland Athletics,Easton Lucas (P),,,,,
13-Jul,2023,Tampa Bay Rays,cash considerations,,,,,,San Diego Padres,Ben Gamel (RF),,,,,
12-Jul,2023,Milwaukee Brewers,cash considerations,,,,,,Los Angeles Dodgers,Tyson Miller (RP),,,,,
