PLAYER,POS.,AGE,BATS,THROWS,FROM,TO,YRS,DOLLARS,AVG. SALARY,H,RBI,HR,AVG,OPS,IP,ERA,WHIP,W,SV,WAR
David Robertson,RP,36.9,R,R,TB,CHC,1,"$3,500,000 ","$3,500,000 ",,,,,,12,4.5,1.25,0,0,-0.11
Donovan Solano,2B,34.2,R,R,SF,CIN,1,"$4,500,000 ","$4,500,000 ",86,31,7,0.28,0.748,,,,,,1.14
Drew Smyly,SP,32.8,L,L,ATL,CHC,1,"$5,250,000 ","$5,250,000 ",3,,,0.073,0.146,126.7,4.48,1.37,11,,0.78
Dylan Bundy,SP,29,,R,LAA,MIN,1,"$5,000,000 ","$5,000,000 ",1,,,0.25,0.5,90.7,6.06,1.36,2,,-0.29
Eddie Rosario,LF,30.4,L,R,ATL,ATL,2,"$18,000,000 ","$9,000,000 ",98,62,14,0.259,0.74,,,,,,0.56
Eduardo Escobar,3B,32.8,,R,MIL,NYM,2,"$20,000,000 ","$10,000,000 ",139,90,28,0.253,0.786,,,,,,2.13
Eduardo Rodriguez,SP,28.6,L,L,BOS,DET,5,"$77,000,000 ","$15,400,000 ",,,,,,157.7,4.74,1.39,13,,1.75
Ehire Adrianza,SS,32.5,,R,ATL,WSH,1,"$1,500,000 ","$1,500,000 ",45,28,5,0.247,0.728,,,,,,0.3
Elvis Andrus,SS,33.9,R,R,OAK,CHW,-,-,-,121,37,3,0.243,0.614,,,,,,0.6
Freddie Freeman,1B,32.5,L,R,ATL,LAD,6,"$162,000,000 ","$27,000,000 ",180,83,31,0.3,0.895,,,,,,4.65
Garrett Richards,SP,33.8,R,R,BOS,TEX,1,"$5,500,000 ","$5,500,000 ",1,1,,0.2,0.6,136.7,4.87,1.6,7,,0.28
Hanser Alberto,2B,29.3,R,R,KC,LAD,1,"$1,600,000 ","$1,600,000 ",65,24,2,0.27,0.693,0.3,,,,,0.37
Heath Hembree,RP,33.2,R,R,NYM,PIT,1,"$2,125,000 ","$2,125,000 ",,,,,,58,5.59,1.19,2,9,-0.54
Hector Neris,RP,32.4,R,R,PHI,HOU,2,"$17,000,000 ","$8,500,000 ",,,,,,74.3,3.63,1.17,4,12,1.18
Hunter Strickland,RP,33.4,R,R,MIL,CIN,1,"$1,825,000 ","$1,825,000 ",,,,,,58.7,2.61,1.16,3,0,0.3
Ian Kennedy,RP,37.2,R,R,PHI,ARI,1,"$4,750,000 ","$4,750,000 ",,,,,,56.3,3.2,1.1,3,27,1.14
Jackie Bradley Jr.,CF,32.2,L,R,BOS,TOR,-,-,-,63,29,6,0.163,0.497,,,,,,-0.66
Jake Diekman,RP,35.1,L,L,OAK,BOS,2,"$8,000,000 ","$4,000,000 ",,,,,,60.7,3.86,1.34,3,7,0.36
Jake Marisnick,CF,31,R,R,SD,PIT,1,"$1,300,000 ","$1,300,000 ",38,24,5,0.216,0.661,,,,,,0.42
Jake McGee,RP,35.9,L,L,SF,MIL,-,-,-,,,,,,59.7,2.72,0.91,3,31,0.98
James Paxton,SP,33,L,L,SEA,BOS,1,"$10,000,000 ","$10,000,000 ",,,,,,1.3,6.75,0.75,0,,-0.01
Jason Adam,RP,30.6,R,R,CHC,TB,1,"$900,000 ","$900,000 ",,,,,,10.7,5.91,1.5,1,0,-0.1
Javier Baez,SS,28.9,R,R,NYM,DET,6,"$140,000,000 ","$23,333,333 ",133,87,31,0.265,0.813,,,,,,2.66
Jed Lowrie,2B,37.9,,R,OAK,OAK,1,"$850,000 ","$850,000 ",112,69,14,0.245,0.716,,,,,,0.13
Jesse Chavez,RP,38.5,R,R,ATL,CHC,1,"$1,250,000 ","$1,250,000 ",,,,,,33.7,2.14,0.98,3,0,1.12
Jeurys Familia,RP,32.4,R,R,NYM,PHI,1,"$6,000,000 ","$6,000,000 ",,,,,,59.3,3.94,1.42,9,1,0.02
Jhoulys Chacin,SP,33.8,R,R,COL,COL,1,"$1,250,000 ","$1,250,000 ",,,,,,64.3,4.34,1.26,3,,0.65
Jimmy Nelson,RP,32.8,R,R,LAD,LAD,1,"$700,000 ","$700,000 ",,,,,,29,1.86,0.93,1,0,0.93
Joc Pederson,LF,29.8,L,L,ATL,SF,1,"$6,000,000 ","$6,000,000 ",103,61,18,0.24,0.739,,,,,,-0.26
Joe Kelly,RP,33.8,R,R,LAD,CHW,2,"$17,000,000 ","$8,500,000 ",,,,,,44,2.86,0.98,2,2,0.7
Joe Smith,RP,37.9,R,R,SEA,MIN,1,"$2,500,000 ","$2,500,000 ",,,,,,39.7,4.99,1.39,4,0,-0.49
Joely Rodriguez,RP,29.9,L,L,NYY,NYY,1,"$2,500,000 ","$2,500,000 ",,,,,,46.3,4.66,1.53,2,1,-0.63
Johan Camargo,3B,27.9,,R,ATL,PHI,1,"$1,400,000 ","$1,400,000 ",,,,,0.111,,,,,,-0.36
John Curtiss,RP,29,R,R,MIL,NYM,1,"$770,000 ","$770,000 ",,,,,,44.3,3.45,1.22,3,0,0.92
Jon Gray,SP,30,R,R,COL,TEX,4,"$56,000,000 ","$14,000,000 ",5,3,,0.106,0.212,149,4.59,1.33,8,,1.48
Jonathan Villar,SS,31.2,,R,CHC,LAA,-,-,-,113,42,18,0.249,0.738,,,,,,1.74
Jordan Lyles,SP,31.1,R,R,TEX,BAL,1,"$7,000,000 ","$7,000,000 ",,,,,,180,5.15,1.39,10,,-0.07
Jorge Soler,DH,30,R,R,ATL,MIA,3,"$36,000,000 ","$12,000,000 ",115,70,27,0.223,0.748,,,,,,-1.35
Jose Iglesias,SS,32.2,R,R,BOS,COL,1,"$5,000,000 ","$5,000,000 ",131,48,9,0.271,0.7,,,,,,-1.09
Jose Quintana,SP,32.8,R,L,SF,PIT,1,"$2,000,000 ","$2,000,000 ",1,,,1,2,63,6.43,1.73,0,,-0.88
Josh Harrison,2B,34.7,R,R,OAK,CHW,1,"$5,500,000 ","$5,500,000 ",141,60,8,0.279,0.741,,,,,,2.55
Justin Upton,LF,34.7,R,R,LAA,SEA,1,"$700,000 ","$700,000 ",67,41,17,0.211,0.705,,,,,,-0.71
Justin Verlander,SP,38.7,R,R,HOU,HOU,2,"$50,000,000 ","$25,000,000 ",,,,,,,,,,,
Kendall Graveman,RP,30.9,R,R,HOU,CHW,3,"$24,000,000 ","$8,000,000 ",,,,,,56,1.77,0.98,5,10,1.67
Kenley Jansen,RP,34.4,,R,LAD,ATL,1,"$16,000,000 ","$16,000,000 ",,,,,,69,2.22,1.04,4,38,2.29
Kevin Gausman,SP,30.8,L,R,SF,TOR,5,"$110,000,000 ","$22,000,000 ",10,4,,0.185,0.396,192,2.81,1.04,14,,5.11
Kevin Plawecki,C,31.5,R,R,BOS,TEX,-,-,-,45,15,3,0.287,0.738,1,,,,,0.18
Kirby Yates,RP,34.7,L,R,TOR,ATL,2,"$8,250,000 ","$4,125,000 ",,,,,,,,,,,
Kole Calhoun,RF,34.1,L,L,ARI,TEX,1,"$5,200,000 ","$5,200,000 ",39,17,5,0.235,0.67,,,,,,-0.09
Kris Bryant,RF,30.2,R,R,SF,COL,7,"$182,000,000 ","$26,000,000 ",136,73,25,0.265,0.834,,,,,,2.17
Kurt Suzuki,C,38.4,R,R,LAA,LAA,1,"$1,750,000 ","$1,750,000 ",49,16,6,0.224,0.636,,,,,,-0.43
Kyle Schwarber,LF,29,L,R,BOS,PHI,4,"$79,000,000 ","$19,750,000 ",106,71,32,0.266,0.928,,,,,,1.83
Leury Garcia,2B,30.7,,R,CHW,CHW,3,"$16,500,000 ","$5,500,000 ",111,54,5,0.267,0.711,,,,,,2.11
Luis Garcia,RP,34.8,R,R,STL,SD,2,"$7,000,000 ","$3,500,000 ",,,,,,33.3,3.24,0.99,1,2,0.35
Luke Maile,C,31.1,R,R,MIL,CLE,1,"$900,000 ","$900,000 ",9,3,,0.3,0.815,1,,,,,0.25
Manuel Pina,C,34.4,R,R,MIL,ATL,2,"$8,000,000 ","$4,000,000 ",34,33,13,0.189,0.732,,,,,,1.3
Marcus Semien,2B,31.2,R,R,TOR,TEX,7,"$175,000,000 ","$25,000,000 ",173,102,45,0.265,0.872,,,,,,7.25
Marcus Stroman,SP,30.6,R,R,NYM,CHC,3,"$71,000,000 ","$23,666,667 ",5,1,,0.098,0.301,179,3.02,1.15,10,,3.36
Mark Canha,LF,32.8,R,R,OAK,NYM,2,"$26,500,000 ","$13,250,000 ",120,61,17,0.231,0.745,,,,,,2.54
Mark Melancon,RP,36.7,R,R,SD,ARI,2,"$14,000,000 ","$7,000,000 ",,,,,,64.7,2.23,1.22,4,39,2.13
Martin Perez,SP,30.9,L,L,BOS,TEX,1,"$4,000,000 ","$4,000,000 ",,,,,,114,4.74,1.51,7,,0.51
Matt Boyd,SP,31.1,L,L,DET,SF,1,"$5,200,000 ","$5,200,000 ",1,,,0.333,0.833,78.7,3.89,1.27,3,,1.35
Matt Carpenter,3B,36.5,L,R,TEX,NYY,1,"$2,000,000 ","$2,000,000 ",35,21,3,0.169,0.58,1.3,,,,,-1.05
Matt Duffy,3B,31.2,R,R,CHC,LAA,1,"$1,500,000 ","$1,500,000 ",83,30,5,0.287,0.738,0.3,,,,,1.64
Matt Strahm,RP,30.3,R,L,SD,BOS,1,"$3,000,000 ","$3,000,000 ",,,,,,6.7,8.1,2.4,0,0,-0.18
Max Scherzer,SP,37.3,R,R,LAD,NYM,3,"$130,000,000 ","$43,333,333 ",,1,,,,179.3,2.46,0.86,15,,3.24
Michael Hermosillo,CF,26.8,R,R,CHC,CHC,1,"$707,000 ","$707,000 ",7,7,3,0.194,0.737,,,,,,0.12
Michael Lorenzen,SP,29.8,R,R,CIN,LAA,1,"$6,750,000 ","$6,750,000 ",,,,,,29,5.59,1.38,1,,-0.06
Michael Pineda,SP,33.2,R,R,MIN,DET,1,"$5,500,000 ","$5,500,000 ",,,,,,109.3,3.62,1.24,9,,1.55
Michael Wacha,SP,30.3,R,R,TB,BOS,1,"$7,000,000 ","$7,000,000 ",,,,,,124.7,5.05,1.31,3,,-0.61
Mychal Givens,RP,31.8,R,R,CIN,CHC,1,"$5,000,000 ","$5,000,000 ",,,,,,51,3.35,1.37,4,8,1.11
Nelson Cruz,DH,41.7,R,R,TB,WSH,1,"$15,000,000 ","$15,000,000 ",136,86,32,0.265,0.831,,,,,,2.05
Nick Castellanos,DH,30,R,R,CIN,PHI,5,"$100,000,000 ","$20,000,000 ",164,100,34,0.309,0.939,,,,,,3.24
Nick Martinez,RP,31.6,L,R,TEX,SD,4,"$25,500,000 ","$6,375,000 ",,,,,,,,,,,
Nick Wittgren,RP,30.8,R,R,CLE,STL,1,"$1,200,000 ","$1,200,000 ",,,,,,62.3,5.05,1.24,2,1,-0.03
Niko Goodrum,2B,30,,R,DET,HOU,1,"$2,100,000 ","$2,100,000 ",62,33,9,0.214,0.651,,,,,,0.03
Noah Syndergaard,SP,29.2,L,R,NYM,LAA,1,"$21,000,000 ","$21,000,000 ",,,,,,2,9,1.5,0,,-0.1
Odubel Herrera,CF,30.2,L,R,PHI,PHI,1,"$1,750,000 ","$1,750,000 ",117,51,13,0.26,0.726,,,,,,1.78
Pedro Severino,C,28.3,R,R,BAL,MIL,1,"$1,900,000 ","$1,900,000 ",94,46,11,0.248,0.691,,,,,,0.95
Raisel Iglesias,RP,31.8,R,R,LAA,LAA,4,"$58,000,000 ","$14,500,000 ",,,,,,70,2.57,0.93,7,34,2.79
Rich Hill,SP,41.7,L,L,NYM,BOS,1,"$5,000,000 ","$5,000,000 ",3,,,0.125,0.25,158.7,3.86,1.21,7,,0.78
Robbie Ray,SP,30.1,L,L,TOR,SEA,5,"$115,000,000 ","$23,000,000 ",,,,,,193.3,2.84,1.05,13,,6.59
Roberto Perez,C,32.9,R,R,CLE,PIT,1,"$5,000,000 ","$5,000,000 ",21,17,7,0.149,0.564,,,,,,-0.11
Robinson Cano,DH,39.5,L,R,NYM,SD,-,-,-,,,,,,,,,,,
Robinson Chirinos,C,37.8,R,R,CHC,BAL,1,"$900,000 ","$900,000 ",22,15,5,0.227,0.778,,,,,,0.16
Roman Quinn,CF,29.2,,R,PHI,TB,-,-,-,9,2,,0.173,0.594,,,,,,0.23
Rougned Odor,2B,27.8,L,R,NYY,BAL,1,-,-,65,39,15,0.202,0.665,,,,,,0.33
Ryan Tepera,RP,34.3,R,R,CHW,LAA,2,"$14,000,000 ","$7,000,000 ",,,,,,61.3,2.79,0.88,0,2,1.1
Sean Doolittle,RP,35.4,L,L,SEA,WSH,1,"$1,500,000 ","$1,500,000 ",,,,,,49.7,4.53,1.47,3,1,0.65
Sergio Romo,RP,39.2,R,R,SEA,TOR,-,-,-,,,,,,61.7,4.67,1.25,1,3,0.08
Starling Marte,RF,33.1,R,R,OAK,NYM,4,"$78,000,000 ","$19,500,000 ",144,55,12,0.308,0.837,,,,,,2.81
Stephen Vogt,C,37.3,L,R,ATL,OAK,1,"$850,000 ","$850,000 ",41,25,7,0.195,0.616,,,,,,0.27
Steve Cishek,RP,35.7,R,R,LAA,WSH,1,"$1,750,000 ","$1,750,000 ",,,,,,68.3,3.42,1.49,0,0,1.16
Steven Matz,SP,30.4,R,L,TOR,STL,4,"$44,000,000 ","$11,000,000 ",,,,,,150.7,3.82,1.33,14,,2.07
Taylor Clarke,RP,28.5,R,R,ARI,KC,1,"$975,000 ","$975,000 ",1,,,0.333,0.666,43.3,4.99,1.52,1,0,0.02
Tim Locastro,OF,29.6,R,R,BOS,NYY,1,"$900,000 ","$900,000 ",25,7,2,0.18,0.515,,,,,,-0.81
Tommy Pham,LF,34,R,R,SD,CIN,1,"$7,500,000 ","$7,500,000 ",109,49,15,0.229,0.723,,,,,,1.38
Trevor Gott,RP,29.2,R,R,SF,MIL,1,"$725,000 ","$725,000 ",,,,,,,,,,,
Trevor Rosenthal,RP,32.1,R,R,OAK,SF,1,"$4,500,000 ","$4,500,000 ",,,,,,,,,,,
Trevor Story,SS,29.3,R,R,COL,BOS,6,"$140,000,000 ","$23,333,333 ",132,75,24,0.251,0.8,,,,,,4.21
Tyler Anderson,SP,32.2,L,L,SEA,LAD,1,"$8,000,000 ","$8,000,000 ",4,1,1,0.103,0.304,167,4.53,1.25,7,,1.36
Yan Gomes,C,34.3,R,R,OAK,CHC,2,"$13,000,000 ","$6,500,000 ",88,52,14,0.252,0.722,,,,,,2.05
Yimi Garcia,RP,31.2,R,R,HOU,TOR,2,"$11,000,000 ","$5,500,000 ",,,,,,57.7,4.21,1.16,4,15,0.8
Yoshitomo Tsutsugo,1B,29.9,L,R,PIT,PIT,1,"$4,000,000 ","$4,000,000 ",50,32,8,0.217,0.69,,,,,,-0.6
Yusei Kikuchi,SP,30.7,L,L,SEA,TOR,3,"$36,000,000 ","$12,000,000 ",,,,,,157,4.41,1.32,7,,1.73
Zach Davies,SP,29.1,R,R,CHC,ARI,1,"$4,500,000 ","$4,500,000 ",6,2,,0.176,0.352,148,5.78,1.6,6,,-0.95
Zack Greinke,SP,38.3,R,R,HOU,KC,1,"$13,000,000 ","$13,000,000 ",,,,,,171,4.16,1.17,11,,1.19
